Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,88.31,0,0,0,8.85,0,0,58.24,0,5.27,0,0,0,0,0,0,0,64.76,0,0,71.37,0,0,0,0,4.69,38.27
1995,103.63,0,0,0,10.5,0,0,77.83,0,4.81,0,0,0,0,0,0,0,80.54,0,0,86.86,0,0,0,0,23.61,45.71
1996,104.21,0,0,0,16.5,0,0,80.86,0,5.65,0,0,0,0,0,0,0,78.25,0,0,80.4,0.01,0,0,0,42.1,50.01
1997,117.12,0,0,0,5.79,0,0,89.27,0,7.84,0,0,0,0,0,0,0,78.5,0,0,108.61,0.03,0,0,0,106.68,68.95
1998,111.61,0,0,0,12.63,0,0,95.3,0,18.49,0,0,0,0,0,0,0,92.97,0,0,95.26,0.84,0,0,0,104.36,70.65
1999,117.28,0,0,0,83.5,0,0,99.08,0,29.06,0,0,0,0,6692.1,0,0,94.46,0,0,99.31,5.09,0,0,0,100.06,86.57
2000,111.74,0,0,0,91.08,0,0,101.44,0,37.14,0,0,0,0,77.5,0,0,94.71,0,0,105.35,87.85,0,0,0,80.12,76.5
2001,112.6,0,0,0,91.88,0,0,102.83,0,40.24,0,0,0,0,88.43,0,0,97.45,0,0,103.85,93.1,0,0,0,83.86,79.85
2002,110.28,0,0,0,91.47,0,0,100.01,0,38.7,0,0,0,0,96.92,0,0,44.69,0,0,96.02,38.98,0,0,53.86,81.35,76.09
2003,108.47,0,0,0,92,0,0,100.48,0,34.68,0,0,0,0,112.95,0,0,1.41,0,0,4.06,1.72,0,0,97.47,83.19,72.97
2004,113.36,0,0,0,96.26,0,0,104.3,0,38.29,0,0,0,0,110.93,0,0,102.41,0,0,0,0,0,0,102.3,81.72,82.79
2005,114.48,0,0,0,98.46,0,0,105.12,0,42.95,0,0,0,0,106.55,0,0,102.82,0,0,0,0,0,0,102.49,73.77,77.04
2006,113.06,0,46.52,0,100.3,0,0,105.25,0,46.17,0,0,0,0,105.35,0,0,103.5,0,0,0,0,0,0,103.31,73.47,76.12
2007,111.08,0,79.79,0,99.89,0,0,105.43,0,49.23,0,0,0,0,106.8,0,0,103.25,0,0,0,0,0,0,103.06,73.11,76.94
2008,108.91,0,81.18,0,96.06,0,0,100.18,0,47.09,0,0,0,0,99.81,0,0,97.98,0,0,0,0,0,0,97.62,70.67,74.32
2009,108.71,0,85.99,0,100.2,0,0,103.66,0,49.69,0,0,0,0,103.74,0,0,101.71,0,0,0,0,0,0,101.39,72.39,76.52
2010,106.71,0,83.04,26.88,96.08,0,24.02,99.35,0,49.25,0,0,0,0,99.93,0,0,98.01,0,0,0,0,0,0,97.66,72.88,74.66
2011,107.94,0,87.06,105.66,97.71,0,81.65,101.33,0,48.95,0,0,0,0,102.39,0,0,99.61,0,0,0,0,0,0,99,75.73,85.31
2012,105.69,0,86.37,96.18,96.67,24.89,88.39,96.55,0,49.31,0,0,0,0,99.5,0,0,93.81,0,0,0,0,0,0,68.93,70.51,77.32
2013,107.42,0,93.52,99.7,100.56,95.89,93.57,100.71,0,51.5,0,93.11,92.35,92.92,107.46,68.87,34.19,97.85,0,90.96,0,0,50.73,2.8,98.11,53.87,73.29
2014,107.28,88.54,93.44,96.36,96.42,94.85,93.45,96.76,0,46.86,60.13,87.95,88.55,86.31,112.8,92.88,90.19,95.48,2.41,86.36,0,0,43.5,9.34,95.5,160.09,86.31
2015,105.08,90.93,95.35,98.19,97.74,96.3,94.23,98.29,0,46.31,97.07,88.35,87.85,84.52,96.07,79.94,77.37,96.9,0,85.78,0,0,45.57,44.97,95.49,196.58,95.07
2016,95.55,81.75,88.98,91.68,105.19,89.27,95,84.43,0,44.59,71.58,84.1,93.86,74.36,95.41,76.71,79.04,89.53,2.73,64.28,0,0,31.53,33.81,5.21,16.44,50.44
2017,97.98,85.88,85.12,87.44,84.4,84.24,92.15,84.74,62.26,47.37,78.94,76.31,78.56,73.57,86.24,72.94,35.44,0,66.08,72.4,0,0,34.73,42.4,0,0,72.93
2018,99.72,88.4,91.33,88.49,88.53,88.49,95.25,89.54,63.62,59.5,82.69,81.99,80.22,72.83,92.61,76.89,33.26,0,68.52,73.27,0,0,44.99,60.23,0,0,77.13
2019,86.67,78.57,85.4,87.41,70.77,70.76,89.07,84.19,68.45,62.41,85.02,83.47,85.78,74.62,93.12,81.55,34.24,0,53.74,57.08,0,0,45.02,63.23,0,0,73.44
2020,73.1,62.67,76.98,78.19,76.91,76.91,81,75.83,67.09,57.08,74.89,71.21,75.68,68.24,79.46,62.72,20.66,0,72.96,76.03,0,0,22.39,45.42,0,0,66.56
2021,10.97,0,10,9.19,9.17,9.17,10.2,9.08,0,8.5,8.2,8.36,8.52,7.37,9.29,7.13,1,0,0,7.57,0,0,0,0,0,0,8.6
Total,105.11,72.1,60.44,63.7,77.98,77.98,82.44,93.86,65.36,38.98,66.65,80.7,82.66,75.96,101.46,74.17,50.13,87.42,36.17,73.34,85.98,26.01,39.76,37.93,71.98,75.71,74.45
