Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,95.06,0,0,0,0,0,0,70.3,0,0,0,0,0,0,0,0,0,71.25,0,0,78.8,0,0,0,0,5.96,40.92
1995,101.56,0,0,0,0,0,0,73.97,0,0,0,0,0,0,0,0,0,70.87,0,0,79.92,0,0,0,0,31.73,43.31
1996,94.49,0,0,0,0.01,0,0,78.82,0,0,0,0,0,0,0,0,0,67.3,0,0,71.3,0,0,0,0,69.51,50.1
1997,110.16,0,0,0,0.03,0,0,86.36,0,0.04,0,0,0,0,0,0,0,68.92,0,0,99.12,0,0,0,0,109.32,64.81
1998,99.06,0,0,0,2.63,0,0,85.61,0,1.21,0,0,0,0,0,0,0,81.85,0,0,82.56,0,0,0,0,105.5,62.66
1999,106.7,0,0,0,56.98,0,0,93.18,0,14.68,0,0,0,0,0,0,0,89,0,0,91.93,1.7,0,0,0,97.92,81.45
2000,105.78,0,0,0,87.62,0,0,96.39,0,35.18,0,0,0,0,60.55,0,0,92.04,0,0,99.23,69.61,0,0,0,79.21,73.65
2001,111.87,0,0,0,95.42,0,0,104.31,0,37.86,0,0,0,0,90.81,0,0,100.69,0,0,103.91,89.48,0,0,0,83.87,79.96
2002,106.38,0,0,0,94.11,0,0,97.88,0,37.75,0,0,0,0,91.07,0,0,49.01,0,0,97.75,39.51,0,0,50.99,82.83,76.72
2003,103.45,0,0,0,93.84,0,0,97.2,0,35.99,0,0,0,0,111.72,0,0,1.95,0,0,6.21,1.62,0,0,98.14,83.69,73.07
2004,114.89,0,0,0,101.76,0,0,107.88,0,43.03,0,0,0,0,119.32,0,0,108.07,0,0,0,0,0,0,108.07,86.27,86.68
2005,114.05,0,0,0,103.47,0,0,108.22,0,41.13,0,0,0,0,109.38,0,0,108.13,0,0,0,0,0,0,108.13,75.05,77.87
2006,112.69,0,43.21,0,108.32,0,0,112.55,0,42.68,0,0,0,0,113.38,0,0,112.07,0,0,0,0,0,0,112.06,75.94,78.2
2007,108.82,0,79.69,0,103.79,0,0,108.26,0,41.25,0,0,0,0,109.65,0,0,107.66,0,0,0,0,0,0,107.63,75.63,78.27
2008,106.06,0,84.3,0,101.94,0,0,104.24,0,39.02,0,0,0,0,104.88,0,0,104.1,0,0,0,0,0,0,104.08,71.74,74.91
2009,105.17,0,89.08,0,105.46,0,0,107.8,0,41.16,0,0,0,0,107.69,0,0,107.56,0,0,0,0,0,0,107.55,73.6,76.97
2010,101.57,0,81.78,33.41,99.54,0,13.3,101.59,0,43.87,0,0,0,0,103.91,0,0,101.83,0,0,0,0,0,0,101.79,75.55,76.74
2011,100.83,0,86.75,98.41,100.7,0,80.28,102.9,0,37.7,0,0,0,0,102.68,0,0,102.78,0,0,0,0,0,0,102.65,76.79,85
2012,94.95,0,85.5,94.77,97.22,19.48,90.1,95.79,0,37.22,0,0,0,0,97.62,0,0,94.87,0,0,0,0,0,0,75.38,68.62,75.29
2013,98.06,0,92.46,98.28,98.51,94.45,94.17,100.93,0,37.71,0,96.77,91.76,94.9,112.95,68.34,33.08,97.2,0,94.31,0,0,57.59,4.87,98.23,51.74,72.83
2014,99.37,80.84,94.96,96.64,98.24,97.27,95.08,100.06,0,35.25,51.77,91,90.62,91.62,124.72,100.54,95.32,97.45,2.1,91,0,0,51.07,10.84,97.09,187.57,88.92
2015,100.43,84.2,98.27,100.75,100.83,100.24,98.57,103.48,0,37.11,96.97,92,90.74,91.62,98.46,82.3,77.05,100.35,0,90.78,0,0,50.04,41.2,99.62,220.36,98.43
2016,87.75,74.29,88.79,90.6,96.26,87.88,93.26,83.73,0,33.24,72.12,83.09,97,73.29,97.66,68.16,71.45,88.07,2.04,73.56,0,0,36.19,32.24,6.24,16.41,49.83
2017,92.73,80.99,86.24,89.48,85.67,85.61,93.44,86.21,52.47,36.21,83.6,79.53,82.58,74.89,91.69,70.52,25.99,0,61.1,77.6,0,0,38.58,36.63,0,0,72.26
2018,97.91,90.58,95.77,94.82,92.51,92.49,99.35,93.14,52.7,33.43,84.75,84.59,85.26,71.7,97.72,75.87,10.27,0,59.54,76.08,0,0,51.03,62,0,0,76.32
2019,87.66,82.64,89.92,91.96,78.04,78.04,93.26,88.76,55.27,33.05,86.67,87.4,89.96,75.13,98.76,82.14,6.13,0,49.36,62.05,0,0,50.55,67.48,0,0,73.29
2020,70.57,66.46,79.36,81.4,77.49,77.49,83.96,79.06,55.82,39.72,76.85,76.8,79.48,70.16,84.27,60.13,4.78,0,61.89,79.68,0,0,27.71,51.03,0,0,66.4
2021,13.39,0,9.26,8.71,8.63,8.63,9.57,8.48,0,7.16,6.86,7.45,7.59,5.48,8.46,5.78,1.15,0,0,6.24,0,0,0,0,0,0,7.88
Total,100.97,69.49,58.72,55.94,73.53,78.63,82.49,93.95,54.07,28.64,66.27,83.58,85.51,77.89,103.61,73.52,41.84,86.4,32.75,78.03,81.21,22.15,45.41,38.11,73.96,77.68,74.38
