Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,68.77,0,0,0,17.56,0,0,33.72,0,3.03,0,0,0,0,0,0,0,50.04,0,0,54.26,0,0,0,0,3.94,29.41
1995,105.03,0,0,0,48.09,0,0,58.46,0,17.77,0,0,0,0,0,0,0,70.8,0,0,90.25,0,0,0,0,7.06,44.95
1996,133.28,0,0,0,71.85,0,0,90.73,0,61.59,0,0,0,0,0,0,0,90.68,0,0,86.73,0,0,0,0,51.16,70.8
1997,124.89,0,0,0,15.68,0,0,95.42,0,74.33,0,0,0,0,0,0,0,77.9,0,0,119.2,0,0,0,0,124.87,84.13
1998,121.68,0,0,0,35.91,0,0,91.54,0,113.23,0,0,0,0,0,0,0,80.62,0,0,80.46,0,0,0,0,113.25,83.33
1999,139.72,0,0,0,92.68,0,0,103.77,0,111.64,0,0,0,0,0,0,0,89.76,0,0,104.74,5.05,0,0,0,104.36,89.98
2000,139.24,0,0,0,86,0,0,117.33,0,120.98,0,0,0,0,20.13,0,0,98.3,0,0,130.04,84.51,0,0,0,83.6,82
2001,134.38,0,0,0,92.88,0,0,109.2,0,118.58,0,0,0,0,67.2,0,0,97.22,0,0,125.38,91.86,0,0,0,83.67,83.68
2002,124.02,0,0,0,78.26,0,0,94.85,0,100.37,0,0,0,0,93.76,0,0,37.5,0,0,92.47,33.29,0,0,50.14,83.91,78.31
2003,123.03,0,0,0,80.52,0,0,92.43,0,93.68,0,0,0,0,108.14,0,0,0.94,0,0,3.05,0.57,0,0,89.2,84.97,74.19
2004,123.42,0,0,0,82.48,0,0,95.63,0,76.93,0,0,0,0,107.85,0,0,89.14,0,0,0,0,0,0,89.07,79.81,82.11
2005,137.16,0,0,0,89.8,0,0,99.66,0,95.73,0,0,0,0,105.49,0,0,95.5,0,0,0,0,0,0,95.44,73.57,79.13
2006,138.26,0,40.67,0,91.57,0,0,95.35,0,98.84,0,0,0,0,101.01,0,0,95.76,0,0,0,0,0,0,95.53,74.42,79.65
2007,128.94,0,70.88,0,93.52,0,0,99.36,0,100.34,0,0,0,0,106.42,0,0,96.33,0,0,0,0,0,0,96.22,75.53,81.87
2008,125.79,0,69.75,0,89.34,0,0,94.55,0,92.47,0,0,0,0,98.75,0,0,92.48,0,0,0,0,0,0,92.27,72.47,78.72
2009,122.59,0,75.81,0,95.44,0,0,102.1,0,96.45,0,0,0,0,98.81,0,0,97.45,0,0,0,0,0,0,97.27,74.68,81.36
2010,123.45,0,73.4,2.71,93.84,0,10.58,95.16,0,91.8,0,0,0,0,97.18,0,0,94.15,0,0,0,0,0,0,93.93,72.06,73.9
2011,129.51,0,75.46,91.69,93.75,0,69.71,95.53,0,94.46,0,0,0,0,97.7,0,0,94.59,0,0,0,0,0,0,94.39,75.86,85.76
2012,131.5,0,73.34,89.29,91.77,23.13,78.56,92.14,0,94.98,0,0,0,0,99.34,0,0,87.87,0,0,0,0,0,0,64.74,72.62,79.35
2013,126.96,0,79.56,85.43,84.74,82.55,75.89,89.27,0,87.32,0,71.16,73.63,78.05,94.71,49.84,31.2,82.9,0,74.74,0,0,51.06,2,82.39,47.81,65.52
2014,132.89,103.28,83.98,86.29,84.63,84.3,77.66,90.38,0,83.26,42.14,71.78,73.93,74.07,106.23,84.23,82.48,84.47,2.94,73.03,0,0,45.89,3.7,84.53,113.78,77.5
2015,122.13,108.47,87.09,89.75,87.54,86.81,78.83,96.48,0,84.54,91.42,72.07,73.97,76.89,86.25,68.95,66.99,86.88,0,71.82,0,0,43.49,42.57,87.53,146.77,87.39
2016,111.06,96.88,85.9,90.84,110.13,89.5,94.61,77.26,0,84.64,72.43,83.18,95.71,65.7,91.05,82.65,82.85,89.58,3.38,56.62,0,0,37.82,41.21,2.59,17.18,52.12
2017,95.2,92.36,79.47,80.73,76.26,76.23,84.73,76.03,56.62,70.11,72.9,71.05,75.35,62.68,75.13,64.26,60.12,0,67.3,64.95,0,0,35.68,41.1,0,0,70.54
2018,103.09,101.1,81.52,76.06,73.11,73.11,86.63,76.51,55.2,69.22,73.44,74.19,70.95,62.42,85.34,70.31,51.92,0,65.46,63.21,0,0,45.08,57.59,0,0,72.15
2019,100.66,98.59,82.79,87.9,70.53,70.53,89.84,80.9,75.27,71.67,81.98,81.89,89.04,73.48,87.14,78.72,69.62,0,56.54,53.52,0,0,48.71,65.82,0,0,76.88
2020,89.41,86.9,69.51,72.32,65.92,65.92,77.59,65.7,62.08,54.36,64.52,67.47,70.84,59.29,71.39,54.19,37.81,0,70.33,69.2,0,0,23.09,51.3,0,0,64.02
2021,1.87,0,4.46,4.1,3.49,3.49,3.93,3.3,0,3.04,2.66,3.05,3.05,2.43,3.54,1.71,0.03,0,0,2.24,0,0,0,0,0,0,2.96
Total,118.92,85.95,56.55,68.22,77.24,70.35,73.1,87.73,62.29,82.23,60.08,71.38,75.12,66.53,89.46,66.6,58.95,81.5,35.87,63.45,87.15,24.86,41.28,38.5,68.34,74.62,74.7
