Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,88.56,0,0,0,3.08,0,0,62.33,0,1.37,0,0,0,0,0,0,0,65.71,0,0,72.56,0,0,0,0,2.98,37.45
1995,97.3,0,0,0,4.41,0,0,69.35,0,1.8,0,0,0,0,0,0,0,70.16,0,0,79.96,0,0,0,0,24.69,41.37
1996,90.32,0,0,0,7.63,0,0,73.7,0,2.79,0,0,0,0,0,0,0,68.38,0,0,69.52,0,0,0,0,58.7,47.75
1997,104.66,0,0,0,3.46,0,0,81.55,0,5.36,0,0,0,0,0,0,0,68.98,0,0,98.11,0,0,0,0,106.33,63.86
1998,94.65,0,0,0,6.73,0,0,84.44,0,14.72,0,0,0,0,0,0,0,79.76,0,0,81.75,0.01,0,0,0,102.23,62.95
1999,101.19,0,0,0,59.68,0,0,90.75,0,26.82,0,0,0,0,0,0,0,85.96,0,0,90.73,1.77,0,0,0,97.67,80.97
2000,100.29,0,0,0,84.13,0,0,97.09,0,39.45,0,0,0,0,57.78,0,0,89.11,0,0,100.11,70.88,0,0,0,79.97,73.79
2001,107.34,0,0,0,92.38,0,0,105,0,44.41,0,0,0,0,84.41,0,0,99.05,0,0,105.52,89.86,0,0,0,84.88,80.37
2002,102.7,0,0,0,93.36,0,0,101.15,0,43.02,0,0,0,0,93.48,0,0,47.67,0,0,98.41,38.58,0,0,51.76,83.14,77.12
2003,99.54,0,0,0,93.96,0,0,100.32,0,42.15,0,0,0,0,110.24,0,0,1.81,0,0,5.24,1.4,0,0,99.26,83.94,73.37
2004,109.51,0,0,0,103.96,0,0,112.19,0,46.83,0,0,0,0,119.6,0,0,110.4,0,0,0,0,0,0,110.4,87.02,87.55
2005,110.07,0,0,0,104.34,0,0,110.42,0,48.3,0,0,0,0,109.57,0,0,109.46,0,0,0,0,0,0,109.46,75.66,78.62
2006,107.81,0,41.73,0,109.03,0,0,114.11,0,52.58,0,0,0,0,113.8,0,0,112.77,0,0,0,0,0,0,112.76,76.43,78.68
2007,105.04,0,78.9,0,106.89,0,0,111.72,0,54.59,0,0,0,0,113.3,0,0,111.04,0,0,0,0,0,0,110.99,76.57,79.6
2008,100.4,0,81.76,0,102.14,0,0,104.71,0,49.98,0,0,0,0,105.35,0,0,104.31,0,0,0,0,0,0,104.13,73.06,75.87
2009,99.66,0,87.87,0,107.5,0,0,109.45,0,54.7,0,0,0,0,110.19,0,0,108.89,0,0,0,0,0,0,108.81,74.35,77.81
2010,95.05,0,82.1,32.32,100.54,0,15.45,103.04,0,56.95,0,0,0,0,104.6,0,0,103.03,0,0,0,0,0,0,102.89,77.13,78.4
2011,92.73,0,85.61,96.56,100.87,0,77.87,103.27,0,49.95,0,0,0,0,103.14,0,0,103.07,0,0,0,0,0,0,102.61,76.04,84.67
2012,86.51,0,85.04,93.75,97.37,20.57,88.46,96.26,0,49.86,0,0,0,0,98.19,0,0,94.95,0,0,0,0,0,0,74.38,67.54,74.94
2013,88.39,0,92.42,98.68,99.81,96.1,93.98,101.2,0,51.04,0,95.14,90.72,94.61,110.31,66.02,31.43,98.35,0,93.85,0,0,54.12,4.44,98.59,51.22,72.55
2014,89.82,71.8,94.63,96.25,97.75,96.78,93.82,97.74,0,46.43,49.8,88.8,88.39,87.1,122.41,95.17,89.13,96.96,2.36,88.31,0,0,45.75,10.19,96.48,188.75,87.04
2015,90.39,75.02,97,98.52,98.82,97.96,95.02,99.18,0,46.97,96.23,89.84,88.77,84.6,96.19,79.29,72.9,98.06,0,88.54,0,0,42.1,33.23,97.73,230.33,95.78
2016,80.28,65.94,88.58,90.47,98.27,87.55,94.44,83.24,0,46.39,72.75,82.44,97.4,74.96,95.92,72.62,75.25,87.68,2.26,71.62,0,0,31.19,29.06,6.87,18.22,50.62
2017,90.14,76.46,87.8,91.52,87.12,87.06,95.98,88.05,51.11,51.69,84.51,81.13,84.86,76.45,91.76,73.55,36.74,0,59.68,79.07,0,0,35.01,36.77,0,0,73.62
2018,93.95,83.88,95.65,94.16,92.12,92.1,99.95,93.57,51.83,52.3,85.71,86.13,86.65,74.17,97.58,78.03,26.48,0,58.62,78.24,0,0,50.11,63.79,0,0,77.62
2019,85.66,78.63,90.69,93.37,78.86,78.86,95.2,89.66,56.11,51.59,87.77,88.79,91.3,77.49,98.96,83.93,27.07,0,49.35,63.91,0,0,51.07,69.4,0,0,75.52
2020,69.17,61.26,79.26,81.7,77.79,77.79,84.1,79.13,54.54,51.27,77.6,77.74,79.94,70.77,83.25,62.62,19.58,0,60.58,80.4,0,0,28.12,52.78,0,0,67.4
2021,14.21,0,9.37,8.75,8.52,8.52,9.54,8.41,0,7.31,6.77,7.34,7.64,5.8,8.18,5.61,1.72,0,0,6.33,0,0,0,0,0,0,7.96
Total,95.74,63.7,58.03,55.06,74.97,79,82.56,93.8,53.4,38.06,66.65,83.59,85.74,77.67,102.97,74.11,48.05,86.02,32.58,78.03,80.55,22.23,42.26,37.31,74.23,78.33,74.77
