Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,72.8,0,0,0,24.85,0,0,38.58,0,3.65,0,0,0,0,0,0,0,45.95,0,0,53.53,0,0,0,0,5.44,31.28
1995,102.63,0,0,0,29.93,0,0,72.42,0,26.69,0,0,0,0,0,0,0,75.23,0,0,90.71,0,0,0,0,26.28,50.02
1996,101.54,0,0,0,41.36,0,0,70.44,0,24.96,0,0,0,0,0,0,0,70.04,0,0,74.12,0,0,0,0,47.31,53.01
1997,110.22,0,0,0,19.3,0,0,80.86,0,39.43,0,0,0,0,0,0,0,73.99,0,0,91.74,0,0,0,0,94.7,67.22
1998,110.12,0,0,0,31.74,0,0,86.22,0,52.82,0,0,0,0,0,0,0,81.5,0,0,86.61,0,0,0,0,87.89,69.42
1999,108.74,0,0,0,85.23,0,0,85.54,0,54.84,0,0,0,0,0,0,0,77.34,0,0,86.41,0.24,0,0,0,91.54,78.55
2000,116.73,0,0,0,80.43,0,0,103.07,0,64.87,0,0,0,0,58.76,0,0,87.66,0,0,104.91,73.94,0,0,0,80.12,75.71
2001,116.48,0,0,0,88.81,0,0,104.22,0,72.27,0,0,0,0,68,0,0,94.71,0,0,100.13,91.16,0,0,0,82.19,78.84
2002,115.47,0,0,0,91.02,0,0,110.31,0,70.2,0,0,0,0,92.1,0,0,43.83,0,0,90.82,36.86,0,0,56.13,81.12,77.07
2003,110.02,0,0,0,87.88,0,0,106.94,0,69.12,0,0,0,0,109.61,0,0,1.87,0,0,3.47,0.73,0,0,99.08,82,73.09
2004,106.57,0,0,0,87.83,0,0,103.73,0,53.69,0,0,0,0,111.52,0,0,96.98,0,0,0,0,0,0,96.97,82.65,82.76
2005,109.86,0,0,0,91.85,0,0,99.12,0,65.4,0,0,0,0,102.99,0,0,98.38,0,0,0,0,0,0,98.38,70.65,74.15
2006,109.68,0,35.39,0,93.91,0,0,102.61,0,75.9,0,0,0,0,102.34,0,0,99.74,0,0,0,0,0,0,99.7,71.09,73.55
2007,106.77,0,64.72,0,94.81,0,0,103.06,0,81.16,0,0,0,0,101.94,0,0,99.02,0,0,0,0,0,0,98.81,71.72,75.65
2008,105.02,0,69.82,0,92.53,0,0,95.37,0,79.09,0,0,0,0,94.76,0,0,95.16,0,0,0,0,0,0,94.76,70.55,74.15
2009,112.1,0,79.69,0,100.13,0,0,105.41,0,88.24,0,0,0,0,105.98,0,0,103.96,0,0,0,0,0,0,103.76,73.7,78.53
2010,106.18,0,74.12,2.88,93.4,0,12.83,97.45,0,83.89,0,0,0,0,100.33,0,0,96.21,0,0,0,0,0,0,94.96,74.58,75.96
2011,105.54,0,77.97,94.4,96.04,0,71.95,99.93,0,87.69,0,0,0,0,98.9,0,0,98.77,0,0,0,0,0,0,96.68,75.05,84.9
2012,105.39,0,81.76,94.69,95.73,26.33,85.64,98.06,0,89.49,0,0,0,0,98.14,0,0,93.84,0,0,0,0,0,0,67.51,69.41,78.42
2013,105.39,0,90.26,99.35,102.57,98.52,93.44,104.21,0,94.11,0,87.65,85.18,87.15,103.88,58.19,30.25,100.22,0,87.81,0,0,50.67,2.53,97.06,52.27,73.53
2014,103.06,89.25,94.39,95.21,96.14,95.72,90,99.43,0,85.71,53.19,81.71,81.94,82.73,119.88,89.61,86.2,96,3.27,83.48,0,0,39.97,6.32,93.67,139.48,84.28
2015,107.15,93.39,95.83,100.62,98.61,97.84,93.48,99.99,0,86.65,99.92,86.27,85.1,81.36,99.35,72.3,67.72,97.93,0,85.87,0,0,37.57,35.58,97.9,196.22,95.91
2016,93.85,80.52,85.3,87.25,95.94,83.09,91.13,80.18,0,78.54,69.62,79.82,91.94,65.99,88.63,77.17,77.39,83.34,2.28,65.91,0,0,31.78,32.85,6.51,21.4,53.49
2017,93.79,81.29,83.81,86.64,83,82.99,93.06,84.21,55.1,76.71,77.97,77.06,78.92,69.84,82.44,71.24,64.12,0,64.03,71.45,0,0,32.41,37.21,0,0,73.75
2018,98.01,88.84,91.18,88.8,87.25,87.25,96.99,89.74,59.93,80.17,83.61,86.34,83.52,73.09,93.78,79.32,64.38,0,68.11,74.3,0,0,48.34,61.91,0,0,80.13
2019,90.24,84.11,85.58,90.29,75.42,75.42,93.12,86,66.74,75.03,83.76,86.91,86.43,73.01,91.84,82.24,72.56,0,57.2,59.9,0,0,51.72,68.35,0,0,77.96
2020,73.63,64.65,71.93,75.29,71.89,71.89,78.34,70.97,63.46,58.65,69.51,69.64,72.95,64.9,71.93,58.64,44,0,70.57,72.68,0,0,26.87,50.01,0,0,65.35
2021,9.18,0,7.26,6.77,6.42,6.42,6.95,6.22,0,5.55,4.62,5.41,5.9,3.98,5.56,3.11,1.3,0,0,4.21,0,0,0,0,0,0,5.72
Total,103.33,72.74,57.43,57.64,78.8,77.67,79.96,91.5,61.31,67.15,65,79.21,80.56,72.26,96.21,71.33,62.72,83.31,36.34,72.61,79.21,22.68,39.91,37,71.5,74.93,74.26
