Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,63.01,0,0,0,0.01,0,0,42.04,0,5.41,0,0,0,0,0,0,0,45.35,0,0,49.88,0,0,0,0,0,25.71
1995,49.03,0,0,0,0.81,0,0,37.36,0,2.69,0,0,0,0,0,0,0,43.66,0,0,43.48,0,0,0,0,27.21,25.72
1996,128.58,0,0,0,51.06,0,0,93.74,0,17.88,0,0,0,0,0,0,0,96.08,0,0,71.08,0,0,0,0,22.36,55.9
1997,156.5,0,0,0,17.7,0,0,101.82,0,30.53,0,0,0,0,0,0,0,97.22,0,0,61.01,0,0,0,0,96.48,73.08
1998,143.53,0,0,0,47.96,0,0,110.51,0,44.55,0,0,0,0,0,0,0,111.13,0,0,48.9,22.34,0,0,0,101.65,81.36
1999,150.58,0,0,0,111.09,0,0,115.51,0,51.38,0,0,0,0,226.85,0,0,111.1,0,0,55.18,58.05,0,0,0,93.27,87.8
2000,129.67,0,0,0,91.14,0,0,106.54,0,75.35,0,0,0,0,100.01,0,0,99.82,0,0,58.85,101.72,0,0,0,79.84,78.38
2001,123.06,0,0,0,91.18,0,0,101.91,0,52.25,0,0,0,0,100.33,0,0,99.69,0,0,49.48,101.89,0,0,0,83.49,78.85
2002,118.62,0,0,0,87.28,0,0,99.41,0,48.57,0,0,0,0,100.35,0,0,33.36,0,0,46.82,31.9,0,0,64.29,80.07,73.22
2003,119.68,0,0,0,86.29,0,0,100.64,0,47.27,0,0,0,0,111.95,0,0,0.27,0,0,0.33,1.3,0,0,98.87,80.14,70.75
2004,116.46,0,0,0,86.97,0,0,100.86,0,37.6,0,0,0,0,98.93,0,0,97.88,0,0,0,0,0,0,97.87,104.12,97.72
2005,114.99,0,0,0,89.62,0,0,98.74,0,46.8,0,0,0,0,102.09,0,0,95.22,0,0,0,0,0,0,90.6,95.28,91.94
2006,113.8,0,53.99,0,95.72,0,0,101.32,0,48.81,0,0,0,0,99.54,0,0,99.41,0,0,0,0,0,0,97.78,96.93,92.31
2007,115.93,0,84.57,0,96.64,0,0,100.9,0,52.66,0,0,0,0,101.48,0,0,100.76,0,0,0,0,0,0,100.49,98.14,94.88
2008,114.5,0,83.72,0,92.9,0,0,98.8,0,73.98,0,0,0,0,93.87,0,0,96.01,0,0,0,0,0,0,95.35,93.43,91.58
2009,113.78,0,88.4,0,96.49,0,0,100.95,0,46.37,0,0,0,0,95.21,0,0,99.06,0,0,0,0,0,0,97.32,104.88,98.3
2010,112.79,0,87.32,17.51,92.32,0,29.11,94.65,0,44.4,0,0,0,0,92.7,0,0,95.34,0,0,0,0,0,0,92.5,92.18,85.98
2011,104.74,0,82.89,112.45,88.96,0,80.94,87.75,0,46.53,0,0,0,0,89.92,0,0,89.84,0,0,0,0,0,0,88.89,62.64,75.73
2012,111.59,0,88.37,94.62,93.12,32.4,85.13,93.52,0,45.96,0,0,0,0,93.73,0,0,90.21,0,0,0,0,0,0,57.81,60.84,71.52
2013,125.44,0,99.13,104.03,101.32,97.45,97.43,105.12,0,89.85,0,98.18,96.2,97.42,102.56,79.36,37.33,100.17,0,90.27,0,0,56.69,2.79,99.62,53.17,78.01
2014,115.48,110.36,93.71,97.1,92.2,90.66,96.95,94.65,0,90.03,80.11,90.97,87.91,83.66,108.72,91.12,92.22,92.79,2.5,84.84,0,0,51.51,14.35,93.41,127.02,86.75
2015,97.75,102.56,81.28,83.3,80.18,78.27,82.24,83.97,0,76.91,83.56,79.38,72.64,74.43,81.71,67.37,69.78,79.23,0,71.04,0,0,53.08,51.85,77.52,136.52,82.81
2016,119.75,112.5,107.28,116.89,128.31,112.3,114.99,108.65,0,106.3,88.28,103.69,122.55,86.03,107.95,102.59,104.75,112.41,2.55,81.11,0,0,63.36,60.75,3.97,21.3,62.56
2017,103.13,98.47,83.16,82.45,82.85,82.64,87.2,81.57,77.66,79.61,80.18,74.99,75,77.07,80.67,72.06,61.52,0,77.16,73.22,0,0,34.44,41.05,0,0,76.46
2018,109.89,118.55,86.71,83.6,84.74,84.67,90.66,84.21,81.99,81.08,82.9,81.86,78.17,80.1,89.06,86.01,74.65,0,79.52,76.37,0,0,45.93,54.74,0,0,82.51
2019,101.31,107.01,83.31,84.85,68.01,67.99,86.57,81.19,81.47,77.4,83.45,84.65,83.77,77.22,88.53,83.33,79.33,0,49.28,46.99,0,0,50.43,64.95,0,0,77.83
2020,77.33,72.99,78.97,79.79,81.98,81.98,83.01,77.21,84.23,68.53,76.52,75.85,74.4,71.03,73.28,62.73,46.47,0,86.61,79.65,0,0,12.92,51.84,0,0,71
2021,10.45,0,6.15,4.65,4.54,4.54,6.29,4.47,0,4.66,4.23,4.25,4.14,3.99,4.71,3.19,1.2,0,0,3.94,0,0,0,0,0,0,4.71
Total,112.69,90.64,63.57,66.91,80.47,78.54,82.94,92.75,81.34,56.26,69.58,82.98,83.19,77.81,97.07,77.56,68.19,87.45,39.22,72.57,48.45,36.32,45.91,43.23,69.62,83.69,79.3
