Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,64.92,0,0,0,0,0,0,41.33,0,3.5,0,0,0,0,0,0,0,46.05,0,0,50.89,0,0,0,0,0,25.84
1995,86.15,0,0,0,0.31,0,0,58.92,0,10.46,0,0,0,0,0,0,0,64.49,0,0,79.58,0,0,0,0,52.97,45.1
1996,109.52,0,0,0,19.48,0,0,80.57,0,19.32,0,0,0,0,0,0,0,81.74,0,0,73.74,0,0,0,0,44.25,52.54
1997,120.8,0,0,0,6.9,0,0,85.9,0,29.55,0,0,0,0,0,0,0,79.65,0,0,83.98,0,0,0,0,111.27,69.92
1998,117.64,0,0,0,18.75,0,0,101.91,0,54.61,0,0,0,0,0,0,0,96.84,0,0,74.78,7.57,0,0,0,108.32,76.53
1999,118.69,0,0,0,87.38,0,0,105.78,0,65.54,0,0,0,0,525.47,0,0,96.76,0,0,81.79,21.45,0,0,0,98.77,87.47
2000,116.04,0,0,0,88.93,0,0,110.65,0,102.35,0,0,0,0,87.15,0,0,97.08,0,0,91.68,84.19,0,0,0,84.4,81.77
2001,115.75,0,0,0,91.94,0,0,105.71,0,84.38,0,0,0,0,96.27,0,0,100.23,0,0,84.62,98.85,0,0,0,86.16,82.9
2002,113.88,0,0,0,91.7,0,0,104.21,0,83.93,0,0,0,0,98.52,0,0,51.53,0,0,81.64,45.57,0,0,50.62,84.45,79.67
2003,110.88,0,0,0,92.15,0,0,104.13,0,81.99,0,0,0,0,112.41,0,0,0.92,0,0,2.17,1.11,0,0,101.92,86.83,76.82
2004,114.02,0,0,0,93.97,0,0,106.9,0,67.33,0,0,0,0,106.73,0,0,105.1,0,0,0,0,0,0,105.09,94.57,93.13
2005,111.93,0,0,0,95.29,0,0,103.94,0,81.02,0,0,0,0,104.59,0,0,102.63,0,0,0,0,0,0,100.88,82.42,84.49
2006,112.89,0,41.75,0,101.88,0,0,107.56,0,85.29,0,0,0,0,106.6,0,0,106.21,0,0,0,0,0,0,105.58,82.89,84.59
2007,114,0,83.83,0,103.43,0,0,108.53,0,88.45,0,0,0,0,109.8,0,0,108,0,0,0,0,0,0,107.87,84.41,87.43
2008,112.53,0,84.89,0,97.28,0,0,101.96,0,91.82,0,0,0,0,99.44,0,0,100.71,0,0,0,0,0,0,100.41,80.15,83.31
2009,111.74,0,90.08,0,101.7,0,0,105.26,0,82.43,0,0,0,0,103.31,0,0,104.25,0,0,0,0,0,0,103.57,83.53,86.15
2010,110.61,0,87.01,10.12,95.85,0,21.61,99.09,0,78.94,0,0,0,0,100.73,0,0,98.96,0,0,0,0,0,0,97.84,79.54,80.04
2011,110.17,0,88.85,115.1,97.04,0,87.4,100.02,0,82.88,0,0,0,0,103.07,0,0,99.27,0,0,0,0,0,0,98.63,73.49,87
2012,108.99,0,89.6,98.92,99.2,33.04,91.49,99.44,0,80.85,0,0,0,0,101.61,0,0,93.16,0,0,0,0,0,0,60.11,67.78,78.55
2013,116.86,0,100.99,107.12,107.1,103.8,101.6,109,0,100.31,0,98.83,97.09,100.04,112.38,69.33,34.98,105.89,0,95.49,0,0,54.59,3.14,105.06,55.69,80.09
2014,116.9,98.41,101.58,104.38,102.87,101.62,101.42,104.05,0,99.58,70.72,95.23,93.78,91.5,122.52,99.27,93.63,102.71,2.9,91.59,0,0,46.2,10.44,102.56,150.63,92.76
2015,105.44,95.38,95.27,97.35,96.77,95.17,92.76,97.88,0,87.17,93.56,87.73,85.06,82.42,93.73,72.57,68.23,95.75,0,83.68,0,0,43.37,41.87,93.21,186.86,94.42
2016,104.13,90.92,97.93,103.15,114.75,99.95,104.59,96.15,0,94.01,81.98,91.71,109.46,82.81,99.47,94.28,95.3,100.02,3.61,75.45,0,0,44.33,45.7,6.37,23.35,60.87
2017,97.54,86.41,85.74,86.87,83.87,83.76,91.11,84.44,68.58,78.73,80.12,75.69,78.52,75.2,83.35,73.28,63.14,0,69.52,71.97,0,0,35.29,44.15,0,0,76.14
2018,102.19,97.58,90.73,89.47,87.49,87.45,94.85,88.59,71.4,83.02,84.43,84.58,83.33,76.91,91,83.06,67.39,0,73.48,75.18,0,0,46.38,61.88,0,0,81.87
2019,93.76,90.58,86.74,88.89,71.07,71.06,90.08,85.4,76.11,77.9,85.94,87.42,88.04,78,91.28,84.22,77.47,0,48.49,49.84,0,0,47.13,69.01,0,0,78.18
2020,78.49,70.12,81.09,83.02,79.55,79.55,85.86,79.8,78.49,68.72,79.17,77.7,79.79,73.07,78.56,67.87,53.24,0,80.71,77.69,0,0,19.05,53.44,0,0,72.54
2021,11.13,0,5.78,5.05,4.82,4.82,5.96,4.72,0,4.91,4.5,4.64,4.73,4.03,5.27,3.13,1.32,0,0,4.04,0,0,0,0,0,0,4.97
Total,106.58,79.09,64.36,64.72,78.71,81.7,85.75,94.84,73.65,72.7,70.19,84.37,86.43,79.65,101.96,78,67.67,88.97,37.86,74.82,70.84,29.25,41.88,41.8,73.64,81.76,79.58
