Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,94.4,0,0,0,0.01,0,0,64.93,0,6.24,0,0,0,0,0,0,0,67.78,0,0,76.57,0,0,0,0,7.18,40.54
1995,102.4,0,0,0,0,0,0,70.36,0,5.83,0,0,0,0,0,0,0,69.49,0,0,81.37,0,0,0,0,32.35,43.8
1996,101.02,0,0,0,0.04,0,0,73,0,1.58,0,0,0,0,0,0,0,66.14,0,0,73.32,0,0,0,0,71.61,50.93
1997,115.79,0,0,0,0.14,0,0,84.65,0,2.49,0,0,0,0,0,0,0,66.63,0,0,101.22,0,0,0,0,110.23,65.71
1998,110.03,0,0,0,4.27,0,0,87.37,0,10.45,0,0,0,0,0,0,0,81.99,0,0,89.18,0,0,0,0,107.37,66.45
1999,117.5,0,0,0,61.91,0,0,93.87,0,22.86,0,0,0,0,0,0,0,88.69,0,0,97.85,2.67,0,0,0,100.57,84.1
2000,114.28,0,0,0,85.68,0,0,97.15,0,43.39,0,0,0,0,65.03,0,0,89.93,0,0,105.92,67.14,0,0,0,80.87,75.42
2001,117.62,0,0,0,90.86,0,0,103.72,0,42.13,0,0,0,0,88.59,0,0,96.31,0,0,104.48,87.11,0,0,0,83.59,79.57
2002,113.79,0,0,0,91.55,0,0,99.05,0,43.41,0,0,0,0,90.96,0,0,47.82,0,0,100.48,38.04,0,0,51.07,82.95,77.12
2003,111.7,0,0,0,92.35,0,0,99.99,0,44.2,0,0,0,0,111.75,0,0,1.62,0,0,8.21,1.71,0,0,97.9,84.31,73.92
2004,120.73,0,0,0,98.49,0,0,107.09,0,45.51,0,0,0,0,118.34,0,0,104.63,0,0,0,0,0,0,104.62,86.71,87.09
2005,120.85,0,0,0,100.41,0,0,107.97,0,46.25,0,0,0,0,110.56,0,0,105.55,0,0,0,0,0,0,105.4,75.77,79.01
2006,119.21,0,40.5,0,103.25,0,0,109.08,0,47.51,0,0,0,0,109.25,0,0,107.33,0,0,0,0,0,0,107.32,75.79,78.07
2007,117.57,0,75.46,0,102.2,0,0,108.35,0,48.36,0,0,0,0,110.45,0,0,106.42,0,0,0,0,0,0,106.41,76.51,79.55
2008,112.47,0,78.75,0,98.35,0,0,101.75,0,44.15,0,0,0,0,103.36,0,0,101.15,0,0,0,0,0,0,101.12,72.58,75.62
2009,112.72,0,84.51,0,102.92,0,0,105.88,0,46.05,0,0,0,0,108.28,0,0,105.45,0,0,0,0,0,0,105.43,74.17,77.68
2010,108.76,0,78.3,28.53,97.37,0,10.97,100,0,48.82,0,0,0,0,104.64,0,0,99.89,0,0,0,0,0,0,99.86,75.57,76.68
2011,109.15,0,82.74,93.41,97.78,0,74.67,100.72,0,43.33,0,0,0,0,105.04,0,0,100.32,0,0,0,0,0,0,99.5,76.91,84.55
2012,104.67,0,83,94.22,96.18,20.35,86.67,95.63,0,43.24,0,0,0,0,98.38,0,0,92.97,0,0,0,0,0,0,72.62,69.71,76.04
2013,106.32,0,90.25,96.3,97.13,92.5,90.27,100.44,0,43,0,91.33,89.4,93.71,111.99,64.34,31.23,94.99,0,93.4,0,0,56.97,4.13,95.84,51.31,71.91
2014,105.61,86.64,90.71,93.2,94.2,93.06,89.6,96.5,0,38.77,53.84,85.14,85.42,87.64,116.89,95.21,92.43,93.33,2.92,86.32,0,0,51.7,10.39,92.77,169.79,85.66
2015,105.52,90.88,94.25,97.4,96.77,95.93,93.29,100.44,0,38.9,94.35,86.4,86.25,86.53,95.31,80.35,77.05,96.34,0,86.18,0,0,51.17,44.19,96,202.5,95.4
2016,94.34,79.41,85.78,88.68,96.04,86.21,92.16,81.55,0,33.76,70.12,81.29,93.05,68.97,97.21,62.94,66.2,86.56,2.7,66.84,0,0,39.27,36.29,6.02,15.43,47.96
2017,97.26,86.05,81.94,85.66,81.52,81.46,90.48,81.92,51.8,36.07,78.09,75.37,77.53,70.49,87.07,64.42,25.98,0,60.35,71.78,0,0,40.19,42,0,0,70.05
2018,100.35,92.57,92.13,90.44,89.52,89.5,97.3,90.04,51.6,34.58,80.15,81.61,81.09,69.09,94.6,69.58,10.23,0,58.18,71.43,0,0,48.82,61.71,0,0,74.04
2019,85.39,80.53,84.04,86.32,71.36,71.34,88.53,82.73,55.02,32.95,82.33,82.31,84.89,71.2,94.42,76.32,6.37,0,47.45,56.95,0,0,46.96,63.86,0,0,69.24
2020,70.35,65.99,73.3,74.72,68.83,68.83,78.23,71.76,52.37,34.92,69.7,68.07,72.41,62.64,77.91,54.89,3.23,0,58.05,69.8,0,0,26,45.23,0,0,60.63
2021,12.72,0,9.56,8.67,8.6,8.6,10.01,8.46,0,6.21,6.45,6.85,7.19,5.24,7.78,5.35,0.66,0,0,5.7,0,0,0,0,0,0,7.6
Total,106.69,72.39,57.1,56.35,72.02,75.14,78.85,92.07,52.7,33.32,63.51,78.73,80.97,73.83,102.05,68.65,39.66,84.52,31.91,72.89,83.78,21.64,45.16,38.36,72.86,77.65,74.01
