Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,149.05,0,0,0,110.49,0,0,100.97,0,0,0,0,0,0,0,0,0,111.66,0,0,112.61,0,0,0,0,0,73.1
1995,117.34,0,0,0,2.17,0,0,95.03,0,0,0,0,0,0,0,0,0,98.64,0,0,90.56,0,0,0,0,1.93,45.29
1996,108.94,0,0,0,2.12,0,0,82.21,0,0,0,0,0,0,0,0,0,76.66,0,0,87.35,0,0,0,0,2.06,40.16
1997,139.98,0,0,0,1.48,0,0,104.59,0,0,0,0,0,0,0,0,0,94.88,0,0,136.84,0,0,0,0,102.2,75.8
1998,134.62,0,0,0,5.59,0,0,111.43,0,0.38,0,0,0,0,0,0,0,120.29,0,0,125.1,1.31,0,0,0,110.69,80.01
1999,147.45,0,0,0,120.84,0,0,120.65,0,10.43,0,0,0,0,0,0,0,118.09,0,0,130.07,11.28,0,0,0,102.26,96.47
2000,109.66,0,0,0,91.48,0,0,96.55,0,7.81,0,0,0,0,98.94,0,0,94.91,0,0,104.5,107.23,0,0,0,74.88,73.48
2001,108.52,0,0,0,86.67,0,0,92.78,0,11.49,0,0,0,0,98.33,0,0,91.12,0,0,99.84,90.64,0,0,0,76.06,73.26
2002,107.44,0,0,0,84.05,0,0,93.2,0,5.82,0,0,0,0,98.23,0,0,42.23,0,0,87.78,40.7,0,0,42.32,74.54,69.52
2003,110.45,0,0,0,86.63,0,0,97.29,0,2.68,0,0,0,0,115.69,0,0,0.63,0,0,1.81,2.42,0,0,90.61,78.55,68.88
2004,112.42,0,0,0,88.6,0,0,95.39,0,9.06,0,0,0,0,101.01,0,0,94.74,0,0,0,0,0,0,94.06,72.05,74.91
2005,114.21,0,0,0,92.84,0,0,100.9,0,10.04,0,0,0,0,102.4,0,0,94.66,0,0,0,0,0,0,94.11,68.79,72.73
2006,112.48,0,52.48,0,89.4,0,0,93.15,0,10.08,0,0,0,0,97.39,0,0,92.31,0,0,0,0,0,0,91.58,67.47,70.41
2007,110.77,0,80.76,0,89.82,0,0,99.97,0,10.56,0,0,0,0,97.44,0,0,92.65,0,0,0,0,0,0,91.9,65.76,70.05
2008,115.42,0,81.38,0,90.27,0,0,100.26,0,10.75,0,0,0,0,94.42,0,0,90.3,0,0,0,0,0,0,89.64,65.65,69.96
2009,110.72,0,82.2,0,91.25,0,0,100.09,0,10.39,0,0,0,0,95.36,0,0,90.71,0,0,0,0,0,0,89.94,66.91,70.88
2010,108.69,0,82.73,26.16,89.34,0,32.76,98.09,0,9.57,0,0,0,0,91.55,0,0,88.93,0,0,0,0,0,0,88.4,63.82,66
2011,111.62,0,87.05,113.82,93.01,0,80.22,103.12,0,10.07,0,0,0,0,100.63,0,0,93.55,0,0,0,0,0,0,92.93,72.4,80.92
2012,112.23,0,84.52,97.07,91.31,27.99,85.73,93.1,0,10.08,0,0,0,0,99.18,0,0,88.89,0,0,0,0,0,0,60.89,71.98,75.09
2013,113.1,0,95.54,102.49,102.62,95.23,94.95,98.35,0,9.92,0,93.07,98.37,87.37,105.47,80.26,36.2,98.85,0,88.3,0,0,51.31,2.35,97.04,55.09,72.43
2014,104.93,87.28,86.02,92.72,92.46,89.54,93.18,90.02,0,0.23,63.88,84.8,86.31,77.67,94.75,86.66,89.28,91.61,2.16,81.44,0,0,39.76,12.65,89.66,169.2,82.29
2015,109.33,95.14,94.37,99.81,97.88,95.12,96.86,98.49,0,8.8,102.15,90.14,89.31,81.94,98.71,87.22,90.25,97.71,0,87.14,0,0,54.86,64.59,92.51,186.31,95.61
2016,98.19,95.13,86.69,88.23,111.15,87.08,94.92,86.29,0,9.34,61.82,83.21,79.02,75.06,92.36,72.33,75.59,88.08,2.79,56.16,0,0,30.81,42.49,1.37,9.24,41.82
2017,108.53,98.01,89.45,86.44,88.51,87.58,95,86.87,78.6,20.37,76.96,77.18,72.81,78.01,88.78,87.74,16.65,0,74.52,75.97,0,0,40.77,59.76,0,0,75.63
2018,104.05,84.96,93.16,89.82,93.87,93.67,96.04,93.86,81.06,58.92,90.13,84.17,78.42,75.52,96.53,82.53,30.47,0,82.28,74.67,0,0,41.97,60.47,0,0,80.12
2019,79.92,66.88,83.4,84.5,68.49,68.41,86.26,83.08,83.3,74.21,88.66,83.63,79.66,77.13,93.2,83.53,6.73,0,60.57,55.55,0,0,38.79,57.93,0,0,71.5
2020,64.4,42.47,75.7,75.93,84.15,84.15,77.97,76.15,84.98,67.89,77.26,73.99,73.97,71.4,78.58,64.57,7.33,0,93.87,81.17,0,0,15.92,34.21,0,0,66.44
2021,13.57,0,29.35,28.36,29.6,29.6,29.73,29.57,0,30.67,29.46,29.84,29.12,28.12,31.66,27.68,0.35,0,0,27.89,0,0,0,0,0,0,26.74
Total,109.39,71.35,61.33,85.48,78.43,79.37,83.49,95,81.98,14.61,68.37,81.83,80.34,76.23,101.95,78.71,43.02,87.88,40.99,73.35,95.28,30.72,39.22,41.85,66.26,69.01,71.15
