Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,95.59,0,0,0,84.68,0,0,65.15,0,0,0,0,0,0,0,0,0,81.1,0,0,84.38,0,0,0,0,0,51.36
1995,123.51,0,0,0,9.46,0,0,108.34,0,0.03,0,0,0,0,0,0,0,114.95,0,0,108.22,0,0,0,0,11.42,54.15
1996,126.73,0,0,0,9.06,0,0,115.63,0,0,0,0,0,0,0,0,0,113.96,0,0,107.47,0,0,0,0,12.19,55.25
1997,102.36,0,0,0,1.55,0,0,78.6,0,0,0,0,0,0,0,0,0,71.03,0,0,109.26,0,0,0,0,109.89,64.73
1998,104.4,0,0,0,4.92,0,0,89.04,0,4.74,0,0,0,0,0,0,0,93.42,0,0,96.15,0,0,0,0,107.57,67.54
1999,110.89,0,0,0,68.54,0,0,93.95,0,20.34,0,0,0,0,0,0,0,93.19,0,0,98.9,2.4,0,0,0,102.56,86.77
2000,114.83,0,0,0,99.42,0,0,103.78,0,28.04,0,0,0,0,87.49,0,0,101.26,0,0,107.4,85.59,0,0,0,81.3,78.06
2001,109.19,0,0,0,95.99,0,0,104.68,0,39.79,0,0,0,0,103.38,0,0,102.28,0,0,107.55,94.58,0,0,0,86.78,82.79
2002,103.78,0,0,0,97.61,0,0,103.05,0,36.82,0,0,0,0,108.45,0,0,42.7,0,0,96.73,39.03,0,0,61.86,83.57,78.26
2003,99.02,0,0,0,95.25,0,0,99.11,0,17.23,0,0,0,0,114.27,0,0,1.58,0,0,2.58,1.82,0,0,100.29,84.45,73.21
2004,107.02,0,0,0,104.74,0,0,109.71,0,44.07,0,0,0,0,118.59,0,0,109.85,0,0,0,0,0,0,109.85,82.62,84.04
2005,103.08,0,0,0,103.6,0,0,107.4,0,51.8,0,0,0,0,109.08,0,0,107.09,0,0,0,0,0,0,107.09,73.82,76.89
2006,99.19,0,52.18,0,107.15,0,0,110.66,0,54.17,0,0,0,0,111.85,0,0,110.49,0,0,0,0,0,0,110.41,73.89,76.56
2007,98.22,0,89.63,0,108.16,0,0,112.61,0,57.31,0,0,0,0,113.68,0,0,112.2,0,0,0,0,0,0,112.03,72.23,76.61
2008,95.31,0,89.73,0,102.06,0,0,104.41,0,50.9,0,0,0,0,104.1,0,0,104.99,0,0,0,0,0,0,104.88,71.42,74.68
2009,96.1,0,98.45,0,111.14,0,0,113.62,0,63.44,0,0,0,0,112.09,0,0,112.62,0,0,0,0,0,0,112.59,74.1,78.81
2010,94.9,0,95.48,55.35,103.15,0,38.94,106.84,0,58.51,0,0,0,0,105.22,0,0,107.79,0,0,0,0,0,0,107.62,77.99,80.62
2011,92.53,0,99.76,118.6,106.8,0,98.13,111.06,0,61.25,0,0,0,0,107.6,0,0,110.83,0,0,0,0,0,0,110.52,80.45,92.26
2012,88.43,0,94.96,99.45,101.29,22.16,96.04,101.45,0,59.96,0,0,0,0,104.94,0,0,100.87,0,0,0,0,0,0,78.71,71.1,79.71
2013,88.63,0,98.39,102.3,102.43,99.64,98.85,100.14,0,58.78,0,100.19,95.91,99.07,107.1,74.23,36.02,100.66,0,97.48,0,0,50.51,2.64,103.22,54.11,75.12
2014,92.02,76.6,103.35,105.53,108.52,105.2,105.84,102.07,0,57.1,66.67,96.93,98.02,94.12,114.37,96.8,91.15,105.42,1.56,95.03,0,0,42.47,10.14,107.24,201.03,94.98
2015,91.3,77.02,102.44,103.06,106,103.92,103.47,102.62,0,55.35,103.61,95.61,95.87,88,100.49,85.23,81.69,104.01,0,94.56,0,0,48.29,41.36,102.41,258.88,103.32
2016,79.73,67.29,96.18,97.45,111.43,94.94,100.09,88.64,0,54.02,76.68,88.17,100.64,81.34,103.32,81.48,84.52,95.04,1.95,71.59,0,0,27.85,27.5,7.21,19.51,54.17
2017,92.54,78.53,94.79,95.95,92.68,92.66,100.23,92.26,61.6,59.51,86.11,80.08,86.87,82.28,94.72,79.96,23.29,0,61.22,81.71,0,0,27.97,30.57,0,0,75.92
2018,100.72,92.04,94.35,92.82,92.82,92.82,96.88,92.08,57.88,77.33,83.29,79.02,84.52,74.73,92.84,78.59,22.16,0,60.81,78.58,0,0,43,59.25,0,0,78.17
2019,88.12,81.66,92,93.95,78.33,78.33,94.24,90.25,63.12,81.98,87.55,83.26,90.3,79.03,96.92,82.6,19.95,0,53.11,64.92,0,0,44.69,64.77,0,0,76.81
2020,67.55,60.18,86.26,86.53,89.26,89.26,88.89,86.17,67.93,75.98,85.14,82.06,87.25,79.15,91.24,65.19,7.71,0,74.33,89.45,0,0,21.34,50.12,0,0,73.89
2021,12.06,0,9.1,7.74,7.73,7.73,9.42,7.64,0,7.6,7.33,7.2,7.72,6.5,8.81,6.31,1.37,0,0,7.18,0,0,0,0,0,0,7.82
Total,98.58,66.31,63.25,60.91,84.45,84.2,90.82,99.64,62.63,43.26,71.17,85.66,89.77,82.35,109.55,78.33,47.89,93.95,35.67,81.77,91.46,27.63,38.27,35.79,76.43,78.67,77.59
