Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,125.01,0,0,0,0,0,0,82.92,0,0.06,0,0,0,0,0,0,0,87.19,0,0,99.38,0,0,0,0,9.26,51.64
1995,122.18,0,0,0,0,0,0,81.09,0,20.06,0,0,0,0,0,0,0,83.12,0,0,100.07,0,0,0,0,31.3,52.13
1996,137.24,0,0,0,0.11,0,0,84.05,0,3.45,0,0,0,0,0,0,0,79,0,0,88.47,0,0,0,0,77.54,60.82
1997,152.66,0,0,0,0.68,0,0,97.7,0,6.6,0,0,0,0,0,0,0,81.03,0,0,131.49,0,0,0,0,113.6,77.48
1998,145.85,0,0,0,10.51,0,0,105.26,0,8.65,0,0,0,0,0,0,0,95.95,0,0,113.26,0,0,0,0,113.76,78.56
1999,159.25,0,0,0,94.7,0,0,107.69,0,29.93,0,0,0,0,0,0,0,101.6,0,0,122.04,7.43,0,0,0,107.82,95.46
2000,151.77,0,0,0,95.51,0,0,107.83,0,49.49,0,0,0,0,88.49,0,0,96.54,0,0,127.13,82.44,0,0,0,84.11,82.46
2001,142.51,0,0,0,89.1,0,0,107.06,0,40.36,0,0,0,0,97.28,0,0,93.34,0,0,109.59,91.47,0,0,0,82.73,80.55
2002,139.91,0,0,0,89.57,0,0,99.71,0,38.48,0,0,0,0,101.01,0,0,44.06,0,0,103.96,36.03,0,0,51.79,82.38,77.8
2003,137.74,0,0,0,87.86,0,0,101.61,0,38.86,0,0,0,0,123.77,0,0,1.25,0,0,4.16,1.83,0,0,94.86,84.58,74.77
2004,142.9,0,0,0,91.39,0,0,103.83,0,37.1,0,0,0,0,120.21,0,0,99.43,0,0,0,0,0,0,99.41,85.63,86.89
2005,145.76,0,0,0,93.21,0,0,104.3,0,39.25,0,0,0,0,109.78,0,0,98.34,0,0,0,0,0,0,97.57,75.55,80.18
2006,142.27,0,41.97,0,90.25,0,0,98.6,0,37.63,0,0,0,0,97.97,0,0,94.62,0,0,0,0,0,0,94.57,73.5,76.33
2007,142.95,0,72.09,0,93.01,0,0,97.79,0,38.41,0,0,0,0,102.87,0,0,96.78,0,0,0,0,0,0,96.74,74.32,78.04
2008,132.98,0,71.27,0,86.6,0,0,89.59,0,34.38,0,0,0,0,92.34,0,0,88.54,0,0,0,0,0,0,88.47,69.62,72.53
2009,138.6,0,77.4,0,95.14,0,0,96.55,0,34.53,0,0,0,0,102.27,0,0,97.7,0,0,0,0,0,0,97.58,72.02,76.15
2010,135.1,0,75.36,29.91,91.16,0,11.81,93.07,0,35.1,0,0,0,0,105.71,0,0,93.38,0,0,0,0,0,0,93.19,70.99,72.68
2011,143.19,0,75.29,94.74,88.61,0,73.97,91.88,0,33.79,0,0,0,0,107.6,0,0,91.44,0,0,0,0,0,0,90.51,77.09,83.77
2012,143.21,0,77.66,94.04,92.16,21.37,83.22,91.98,0,35.18,0,0,0,0,97.62,0,0,89.88,0,0,0,0,0,0,68.52,73.45,78.01
2013,138.02,0,83.05,90.82,88.9,82.64,81.07,93.99,0,34.85,0,83.32,83.35,86.37,105.5,63.25,33.21,85.62,0,82.39,0,0,56.54,1.69,87.96,48.77,68.12
2014,131.12,109.49,82.02,88.38,87.54,85.72,82,90.16,0,30.73,70.35,78.21,78.66,82.25,96.99,94.05,95.2,86.45,3.78,79.76,0,0,52.63,8,84.97,142.04,82.19
2015,133.65,116.32,90.26,96.7,93.73,91.92,91.11,100.31,0,32.35,97.91,83.29,82.9,84.65,96.98,79.89,80.8,93.43,0,82.52,0,0,61.65,60.11,94.13,175.64,95.84
2016,128.15,106.58,88.27,95.85,106.33,93.61,98.51,87.44,0,28.32,76.25,88.72,96.44,71.04,110.08,65.52,68.35,94.79,3.99,60.69,0,0,55.63,54.73,4.04,12.8,47.53
2017,114.96,104.34,80.19,81.61,76.54,76.41,87.63,76.53,62.03,29.96,72.22,70.51,69.35,67.39,82.58,59.69,25.25,0,65.15,63.58,0,0,51.68,59.54,0,0,70.41
2018,116.86,108.89,91.76,88.64,90.49,90.44,98.72,89.98,60.74,25.24,75.07,80.09,77.04,68.81,92.66,68.83,6.05,0,62.5,64.62,0,0,48.77,64.02,0,0,74.79
2019,86.8,81.97,78.79,81.7,68.32,68.24,83.48,77.05,68.23,23.21,81.05,78.83,81.47,71.3,90.78,73.28,7.02,0,55.44,55.53,0,0,43.88,60.34,0,0,67.47
2020,76.95,72.76,75.76,74.57,69.03,69.03,80.07,70.28,65.4,24.06,70.94,61.12,73.55,63.01,81.73,56.5,1.25,0,70.6,69.12,0,0,23.9,43.36,0,0,61.44
2021,10.08,0,9.19,8.18,7.99,7.99,9.65,7.8,0,3.47,5.91,6,7.1,4.92,7,4.68,0.06,0,0,5.25,0,0,0,0,0,0,6.74
Total,132.62,87.37,56.21,66.63,72.2,73.15,77.19,92.83,64.1,29.09,65.42,75.34,77.62,71.81,102.83,67.68,39.11,85.42,35.5,67.42,99.28,24.96,49.33,43.9,68.72,75.39,74.55
