Ano,BCG,Hepatite B em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1° ref),Meningococo C (1° ref),Poliomielite(1° ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1° ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado, Total
1994,74.03,0,0,0,16.32,0,0,35.07,0,6.05,0,0,0,0,0,0,0,54.82,0,0,57.45,0,0,0,0,2.25,31.03
1995,102.35,0,0,0,39.16,0,0,50.83,0,20.81,0,0,0,0,0,0,0,66.12,0,0,88.6,0,0,0,0,3.58,41.67
1996,107.61,0,0,0,47.33,0,0,61.96,0,35.17,0,0,0,0,0,0,0,74.15,0,0,66.23,0,0,0,0,52.19,55.2
1997,114.4,0,0,0,12.82,0,0,69.68,0,50.81,0,0,0,0,0,0,0,68.11,0,0,101.38,0,0,0,0,99.96,68.57
1998,99.02,0,0,0,28.07,0,0,88.22,0,91.68,0,0,0,0,0,0,0,70.77,0,0,72.89,0,0,0,0,104.44,73.28
1999,109.17,0,0,0,73.45,0,0,88.44,0,95.3,0,0,0,0,0,0,0,75.64,0,0,87.49,2.08,0,0,0,99.11,81.34
2000,111.66,0,0,0,72.21,0,0,105.9,0,95.19,0,0,0,0,12.07,0,0,78.13,0,0,109.61,73.8,0,0,0,82.85,75.81
2001,119.05,0,0,0,80.33,0,0,105.86,0,105.01,0,0,0,0,55.14,0,0,87.85,0,0,113.45,80.72,0,0,0,85.29,80.97
2002,119.11,0,0,0,82.59,0,0,107.77,0,96.32,0,0,0,0,100.21,0,0,48.87,0,0,100.72,35.42,0,0,43.27,82.7,78.91
2003,115.16,0,0,0,83.23,0,0,105.89,0,95.33,0,0,0,0,113.08,0,0,2.05,0,0,2.68,0.87,0,0,96.39,84.58,75.09
2004,120.65,0,0,0,94.93,0,0,110.96,0,83.35,0,0,0,0,122.27,0,0,104.22,0,0,0,0,0,0,104.17,87.9,89.6
2005,132.45,0,0,0,98.14,0,0,109.83,0,97.61,0,0,0,0,110.21,0,0,105.49,0,0,0,0,0,0,105.48,77.4,82.39
2006,130.46,0,32.04,0,99.24,0,0,106.91,0,97.31,0,0,0,0,107.95,0,0,103.27,0,0,0,0,0,0,103.18,78.34,81.57
2007,127.23,0,62.27,0,100.34,0,0,106.64,0,103.76,0,0,0,0,113.47,0,0,105.31,0,0,0,0,0,0,105.21,79.55,83.99
2008,120.07,0,64.28,0,96.17,0,0,101.2,0,95.3,0,0,0,0,105.13,0,0,98.15,0,0,0,0,0,0,97.94,77.06,80.8
2009,120.59,0,72.27,0,101.42,0,0,104.79,0,101.88,0,0,0,0,109.54,0,0,102.34,0,0,0,0,0,0,102.21,77.29,82.21
2010,117.45,0,68.18,3.03,97.11,0,8.22,99.29,0,95.31,0,0,0,0,104.02,0,0,98.36,0,0,0,0,0,0,97.86,75.82,78.08
2011,115.7,0,72.26,78.71,95.05,0,59.41,97.91,0,94.15,0,0,0,0,102.4,0,0,95.96,0,0,0,0,0,0,95.23,75.44,83.91
2012,113.64,0,74.46,88.2,93.63,20.18,77.07,96,0,94.39,0,0,0,0,100.32,0,0,91.12,0,0,0,0,0,0,70.94,70.87,78.21
2013,113.18,0,83.14,89.76,92.52,88.28,79.66,96.47,0,90.83,0,77.71,78.01,87.5,98.93,46.3,25.41,89.68,0,83.02,0,0,52.49,2.88,86.91,48.18,68.12
2014,114.13,91.38,84.11,86.44,86.93,86.5,76.56,90.05,0,80.02,36.25,72.63,73.53,75.25,116.05,77.72,73.51,86.62,2.7,75.66,0,0,41.15,5.1,84.32,123.44,76.25
2015,103.72,89.43,83.09,87.19,85.85,85.08,75,88.16,0,75.34,86.67,72.13,72.06,71.68,85.6,62.76,58.01,85.11,0,71.62,0,0,32.53,27.87,84.26,170.83,83.05
2016,92.05,72.68,77.83,81.87,92.13,78.24,85.8,72.28,0,72.56,65.3,71.77,85.74,57.34,80.76,72.46,72.62,78.28,2.7,55.28,0,0,27.49,28.3,5.31,19.16,48.22
2017,92.41,82.35,73.8,78.58,72.85,72.8,84.23,75.67,39.1,68.83,71.1,68.96,72.68,59.46,76.18,61.41,57.5,0,54.88,63.17,0,0,30.19,34.91,0,0,66.24
2018,94.95,87.51,79.2,74.1,71.3,71.3,86.5,77.06,41.02,69.15,73.83,73.01,68.5,59.89,84.69,69.4,54.19,0,54.19,62.33,0,0,45.07,58.48,0,0,69.14
2019,91.04,85.99,80.49,84.23,70.27,70.27,88.39,79.59,53.75,69.03,79.01,80.6,82.86,67.61,88.27,77.2,67.36,0,46.77,52.78,0,0,49.4,65.51,0,0,72.77
2020,76.43,69.52,67.74,70.7,63.38,63.38,75.3,64.91,47.24,54.74,63.75,66.82,68.32,57.09,68.34,54.1,41.92,0,55.85,64.6,0,0,27.2,50.08,0,0,60.46
2021,9.52,0,8.7,7.96,6.97,6.97,8.48,6.97,0,5.9,5.47,5.76,5.98,4.68,6.17,2.96,0.32,0,0,4.67,0,0,0,0,0,0,6.28
Total,108.31,72.29,52.31,54.22,75.23,68.52,70.63,88.07,45.28,78.54,57.49,70.37,72.59,64.58,91.7,62.98,55.35,80.95,29.8,63.68,79.63,22.14,38.16,34.39,70.81,77.96,74.14
