Period,Ano,Americas,Europe,Africa,1 Região Norte,2 Região Nordeste,3 Região Sudeste,4 Região Sul,5 Região Centro-Oeste,Am legal,Semiarido,Z de Fronteira,Extr Pobreza,Capitais,Brasil
1994,1994.0,85.11428571428571,89.25490196078431,63.88636363636363,54.82,67.78,87.09,87.23,46.05,51.61,71.25,45.95,65.71,71.36,64.76
1995,1995.0,86.14285714285714,91.2156862745098,65.75,66.12,69.49,97.83,86.19,64.49,66.14,70.87,75.23,70.16,84.92,80.54
1996,1996.0,84.48571428571428,91.88235294117646,64.06818181818181,74.15,66.14,89.67,83.84,81.74,70.13,67.3,70.04,68.38,82.03,78.25
1997,1997.0,86.28571428571429,92.71153846153847,62.65909090909091,68.11,66.63,85.76,91.7,79.65,67.03,68.92,73.99,68.98,89.79,78.5
1998,1998.0,86.31428571428572,92.86538461538461,63.34090909090909,70.77,81.99,107.66,91.19,96.84,73.68,81.85,81.5,79.76,106.22,92.97
1999,1999.0,87.08571428571429,93.6923076923077,61.52173913043478,75.64,88.69,103.83,93.7,96.76,76.01,89.0,77.34,85.96,108.32,94.46
2000,2000.0,88.14285714285714,93.86538461538461,63.52173913043478,78.13,89.93,99.82,101.25,97.08,79.5,92.04,87.66,89.11,96.27,94.71
2001,2001.0,88.85714285714286,94.3076923076923,64.65217391304348,87.85,96.31,98.65,102.7,100.23,88.53,100.69,94.71,99.05,93.87,97.45
2002,2002.0,89.0,94.1923076923077,67.21739130434783,48.87,47.82,40.17,43.28,51.53,47.34,49.01,43.83,47.67,42.12,44.69
2003,2003.0,89.68571428571428,93.0,69.91304347826087,2.05,1.62,1.26,1.04,0.92,1.54,1.95,1.87,1.81,1.03,1.41
2004,2004.0,90.51428571428572,94.15384615384616,71.56521739130434,104.22,104.63,101.06,98.43,105.1,103.5,108.07,96.98,110.4,95.14,102.41
2005,2005.0,92.0,94.92307692307692,74.19565217391305,105.49,105.55,101.04,99.67,102.63,106.23,108.13,98.38,109.46,95.7,102.82
2006,2006.0,91.34285714285714,94.41509433962264,75.93478260869566,103.27,107.33,100.59,101.92,106.21,105.31,112.07,99.74,112.77,94.44,103.5
2007,2007.0,91.65714285714286,94.64150943396227,77.8913043478261,105.31,106.42,99.67,102.06,108.0,107.31,107.66,99.02,111.04,95.23,103.25
2008,2008.0,91.17142857142858,94.67924528301887,78.80434782608695,98.15,101.15,95.67,95.62,100.71,100.42,104.1,95.16,104.31,90.65,97.98
2009,2009.0,92.45714285714286,94.24528301886792,79.8695652173913,102.34,105.45,99.05,98.97,104.25,104.33,107.56,103.96,108.89,94.45,101.71
2010,2010.0,92.57142857142857,94.18867924528301,79.69565217391305,98.36,99.89,96.62,96.97,98.96,99.67,101.83,96.21,103.03,91.64,98.01
2011,2011.0,91.54285714285714,94.84905660377359,80.25531914893617,95.96,100.32,100.0,100.04,99.27,97.52,102.78,98.77,103.07,92.66,99.61
2012,2012.0,92.28571428571429,95.39622641509433,81.27659574468085,91.12,92.97,95.07,94.63,93.16,91.08,94.87,93.84,94.95,89.11,93.81
2013,2013.0,91.17142857142858,95.54716981132076,80.2127659574468,89.68,94.99,99.33,101.81,105.89,92.12,97.2,100.22,98.35,92.97,97.85
2014,2014.0,90.82857142857142,93.84905660377359,80.40425531914893,86.62,93.33,97.1,98.06,102.71,88.77,97.45,96.0,96.96,89.26,95.48
2015,2015.0,90.74285714285715,93.67924528301887,80.14893617021276,85.11,96.34,100.05,98.93,95.75,88.57,100.35,97.93,98.06,92.2,96.9
2016,2016.0,91.65714285714286,93.05660377358491,80.46808510638297,78.28,86.56,91.69,91.98,100.02,79.68,88.07,83.34,87.68,92.95,89.53
