Country,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
 Afghanistan,122,,133,,145,,156,,168,,179,,190,,202,,213,,224,,235,,247,,259,,271,,302,,312,,324,,336,,342,,352,,372,,374,,390,,398,,403,,405,,406,,408,,413,,414
 Albania,583,,588,,557,,542,,541,,550,,557,,569,,579,,584,,586,,588,,596,,604,,605,,621,,628,,640,,644,,650,,671,,714,,739,,749,,758,,753,,745,,747,,743,,746
 Algeria,385,,395,,405,,414,,424,,431,,443,,458,,473,,487,,500,,513,,529,,542,,557,,570,,577,,588,,588,,608,,626,,644,,639,,639,,652,,659,,660,,665,,668,,672
 Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,630,,630,,636,,642,,650,,631,,651,,652,,667,,668,,670,,671,,724,,714,,725,,718,,722,,713,,720,,720
 Angola,..,,..,,..,,..,,..,,..,,..,,..,,..,,276,,288,,300,,312,,324,,336,,348,,362,,376,,390,,404,,398,,423,,435,,447,,460,,472,,487,,498,,500,,500
 Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,673,,675,,676,,674,,672,,667,,651,,656,,657,,652,,654,,654,,655,,656,,665
 Argentina,628,,632,,634,,636,,639,,648,,659,,670,,681,,715,,736,,756,,762,,761,,760,,751,,795,,796,,801,,810,,818,,824,,822,,822,,826,,832,,834,,842,,842,,855
 Armenia,637,,640,,640,,647,,640,,631,,633,,646,,666,,674,,671,,660,,660,,662,,668,,679,,696,,717,,712,,729,,734,,737,,736,,743,,746,,750,,744,,739,,740,,740
 Australia,873,,874,,874,,875,,875,,894,,895,,895,,895,,895,,895,,896,,895,,893,,892,,873,,876,,879,,914,,916,,919,,922,,928,,906,,908,,918,,919,,923,,923,,924
 Austria,675,,682,,692,,699,,704,,709,,711,,715,,720,,727,,731,,754,,721,,728,,740,,749,,759,,806,,809,,819,,837,,838,,841,,833,,854,,861,,862,,865,,866,,865
 Azerbaijan,..,,..,,..,,..,,..,,618,,614,,616,,625,,633,,640,,647,,653,,660,,666,,652,,680,,662,,662,,674,,659,,663,,666,,668,,674,,681,,708,,713,,711,,711
 Bahamas,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,700,,702,,704,,706,,708,,710,,717,,717,,720,,725,,731,,730,,729,,728,,727,,731,,735,,736,,737,,740
 Bahrain,574,,586,,586,,599,,609,,619,,624,,628,,632,,635,,643,,645,,646,,646,,641,,637,,640,,644,,647,,651,,654,,664,,664,,674,,685,,755,,768,,770,,765,,769
 Bangladesh,251,,260,,268,,276,,284,,292,,303,,313,,324,,334,,344,,355,,362,,370,,378,,385,,391,,395,,391,,409,,432,,446,,456,,457,,451,,479,,496,,513,,524,,529
 Barbados,625,,632,,639,,646,,653,,660,,665,,669,,660,,678,,690,,690,,697,,704,,711,,718,,725,,732,,742,,751,,742,,755,,776,,777,,777,,777,,777,,773,,773,,782
 Belarus,..,,..,,..,,..,,..,,630,,643,,648,,649,,658,,668,,677,,687,,696,,706,,716,,745,,774,,804,,826,,828,,829,,833,,839,,838,,837,,839,,842,,843,,838
 Belgium,705,,708,,745,,779,,790,,803,,815,,820,,827,,825,,833,,838,,842,,846,,849,,856,,869,,871,,865,,870,,871,,873,,874,,880,,883,,890,,893,,900,,900,,902
 Belize,495,,498,,505,,512,,519,,526,,533,,540,,548,,555,,563,,570,,583,,596,,608,,596,,619,,626,,633,,635,,663,,650,,665,,665,,669,,674,,696,,691,,691,,695
 Benin,201,,208,,215,,222,,228,,235,,241,,248,,254,,262,,273,,294,,310,,321,,333,,344,,355,,366,,377,,389,,400,,411,,433,,454,,460,,473,,472,,472,,476,,478
 Bhutan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,335,,337,,350,,361,,372,,388,,401,,421,,443,,452,,465,,478,,491,,494,,496
 Bolivia (Plurinational State of),528,,537,,546,,555,,565,,574,,581,,574,,594,,616,,630,,631,,641,,644,,637,,631,,635,,624,,636,,639,,642,,642,,644,,656,,660,,666,,670,,686,,690,,695
 Bosnia and Herzegovina,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,557,,565,,574,,582,,590,,599,,607,,615,,623,,625,,608,,626,,672,,683,,687,,688,,709,,708,,710,,711
 Botswana,461,,478,,486,,493,,499,,519,,531,,542,,559,,577,,589,,597,,596,,603,,608,,613,,622,,625,,628,,632,,636,,641,,645,,649,,653,,657,,659,,664,,666,,676
 Brazil,463,,475,,487,,499,,511,,523,,535,,547,,559,,572,,584,,597,,610,,595,,593,,593,,589,,588,,608,,610,,619,,622,,628,,668,,674,,677,,684,,689,,689,,694
 Brunei Darussalam,588,,596,,604,,613,,620,,626,,629,,633,,632,,642,,643,,642,,646,,656,,667,,674,,678,,677,,677,,683,,683,,692,,709,,711,,710,,705,,707,,704,,703,,702
 Bulgaria,632,,637,,635,,635,,635,,647,,663,,667,,671,,676,,677,,690,,691,,705,,712,,715,,727,,743,,747,,752,,761,,765,,770,,785,,793,,794,,793,,785,,779,,779
 Burkina Faso,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,139,,142,,147,,151,,162,,173,,181,,194,,208,,220,,232,,245,,253,,261,,264,,277,,286,,298,,300,,312
 Burundi,171,,176,,172,,181,,181,,181,,182,,182,,183,,183,,187,,186,,199,,214,,228,,240,,280,,301,,323,,359,,376,,392,,399,,408,,419,,424,,429,,422,,412,,417
 Cabo Verde,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,436,,435,,451,,454,,455,,463,,487,,490,,503,,515,,521,,532,,543,,549,,567,,568,,564,,565,,566,,562
 Cambodia,276,,280,,284,,288,,292,,297,,301,,305,,310,,305,,319,,337,,369,,382,,392,,400,,409,,424,,425,,428,,444,,449,,455,,460,,465,,468,,472,,476,,476,,484
