Period,Ano,Americas,Europe,Africa,1 Região Norte,2 Região Nordeste,3 Região Sudeste,4 Região Sul,5 Região Centro-Oeste,Am legal,Semiarido,Z de Fronteira,Extr Pobreza,Capitais,Brasil
1994,1994.0,48.0,63.333333333333336,57.0,16.32,0.01,90.42,38.45,0.0,9.64,0.0,24.85,3.08,7.24,8.85
1995,1995.0,62.0,58.36363636363637,65.0,39.16,0.0,5.36,30.66,0.31,24.26,0.0,29.93,4.41,9.95,10.5
1996,1996.0,72.75,76.0,66.6,47.33,0.04,5.39,53.6,19.48,30.03,0.01,41.36,7.63,19.51,16.5
1997,1997.0,69.8,75875,72.42857142857143,12.82,0.14,1.62,24.27,6.9,8.61,0.03,19.3,3.46,6.66,5.79
1998,1998.0,74.28571428571429,74.05,76.0,28.07,4.27,6.6,33.72,18.75,20.08,2.63,31.74,6.73,17.44,12.63
1999,1999.0,78.0,80.68181818181819,78.14285714285714,73.45,61.91,95.84,102.78,87.38,65.86,56.98,85.23,59.68,108.52,83.5
2000,2000.0,79625,77.0,85.42857142857143,72.21,85.68,98.23,97.01,88.93,72.41,87.62,80.43,84.13,91.96,91.08
2001,2001.0,80.0,79.13333333333334,70.55555555555556,80.33,90.86,93.75,97.9,91.94,80.14,95.42,88.81,92.38,89.25,91.88
2002,2002.0,79.84,83.05714285714286,71.05263157894737,82.59,91.55,92.38,95.74,91.7,82.75,94.11,91.02,93.36,85.4,91.47
2003,2003.0,82.06666666666666,85.63888888888889,73.04347826086956,83.23,92.35,92.66,96.62,92.15,84.46,93.84,87.88,93.96,86.32,92.0
2004,2004.0,88.63333333333334,87.8974358974359,79.61538461538461,94.93,98.49,96.17,93.72,93.97,95.42,101.76,87.83,103.96,88.22,96.26
2005,2005.0,90.5,88.95,79.09677419354838,98.14,100.41,98.44,96.07,95.29,98.82,103.47,91.85,104.34,92.08,98.46
2006,2006.0,86.58823529411765,90.85365853658537,81625,99.24,103.25,98.67,98.28,101.88,101.22,108.32,93.91,109.03,90.9,100.3
2007,2007.0,89.08823529411765,91.88095238095238,80.28947368421052,100.34,102.2,97.59,98.9,103.43,102.33,103.79,94.81,106.89,92.08,99.89
2008,2008.0,89.61764705882354,92.42857142857143,78.29268292682927,96.17,98.35,94.78,93.63,97.28,97.47,101.94,92.53,102.14,89.28,96.06
2009,2009.0,91.52941176470588,91.4047619047619,80.0,101.42,102.92,98.41,97.34,101.7,102.66,105.46,100.13,107.5,93.43,100.2
2010,2010.0,91.67647058823529,91.18604651162791,79.97777777777777,97.11,97.37,95.02,95.52,95.85,97.75,99.54,93.4,100.54,90.94,96.08
2011,2011.0,91.29411764705883,89.55555555555556,81.04444444444445,95.05,97.78,98.34,98.3,97.04,96.16,100.7,96.04,100.87,91.61,97.71
2012,2012.0,91.97058823529412,90.53333333333333,81.86666666666666,93.63,96.18,97.43,96.58,99.2,95.24,97.22,95.73,97.37,91.76,96.67
2013,2013.0,89.85714285714286,91.4888888888889,81.42222222222222,92.52,97.13,102.95,103.8,107.1,94.76,98.51,102.57,99.81,95.74,100.56
2014,2014.0,89.6,91.55555555555556,81.1086956521739,86.93,94.2,98.63,98.39,102.87,89.3,98.24,96.14,97.75,89.86,96.42
2015,2015.0,89.65714285714286,91.55555555555556,79.76595744680851,85.85,96.77,101.39,99.2,96.77,89.16,100.83,98.61,98.82,92.51,97.74
2016,2016.0,90.8,91.24444444444444,79.8936170212766,92.13,96.04,111.33,110.79,114.75,92.98,96.26,95.94,98.27,110.82,105.19
2017,2017.0,86.88571428571429,91.45652173913044,80.68085106382979,72.85,81.52,88.54,87.79,83.87,74.57,85.67,83.0,87.12,82.18,84.4
2018,2018.0,88.48571428571428,92.23913043478261,80.82978723404256,71.3,89.52,92.37,89.58,87.49,75.16,92.51,87.25,92.12,88.29,88.53
2019,2019.0,87.4,92.75,81.02127659574468,70.27,71.36,69.07,74.7,71.07,68.09,78.04,75.42,78.86,68.78,70.77
