Period,Ano,Americas,Europe,Africa,1 Região Norte,2 Região Nordeste,3 Região Sudeste,4 Região Sul,5 Região Centro-Oeste,Am legal,Semiarido,Z de Fronteira,Extr Pobreza,Capitais,Brasil
1994,1994.0,85.74285714285715,90.66666666666667,63.65909090909091,35.07,64.93,73.72,87.0,41.33,37.45,70.3,38.58,62.33,63.52,58.24
1995,1995.0,85.94285714285714,92.19607843137256,65.88636363636364,50.83,70.36,94.11,86.29,58.92,50.22,73.97,72.42,69.35,80.48,77.83
1996,1996.0,85.45714285714286,93.45098039215686,64.4090909090909,61.96,73.0,93.87,85.23,80.57,57.27,78.82,70.44,73.7,85.51,80.86
1997,1997.0,87.28571428571429,93.73076923076923,63.22727272727273,69.68,84.65,96.64,94.62,85.9,72.27,86.36,80.86,81.55,101.2,89.27
1998,1998.0,86.97142857142858,93.67307692307692,63.5,88.22,87.37,103.9,91.35,101.91,86.17,85.61,86.22,84.44,106.34,95.3
1999,1999.0,87.6,94.09615384615384,63.21739130434783,88.44,93.87,106.81,93.6,105.78,86.85,93.18,85.54,90.75,113.11,99.08
2000,2000.0,87.4,94.21153846153847,64.28260869565217,105.9,97.15,102.07,101.27,110.65,103.09,96.39,103.07,97.09,102.78,101.44
2001,2001.0,90.02857142857142,94.40384615384616,65.19565217391305,105.86,103.72,100.79,102.8,105.71,105.12,104.31,104.22,105.0,99.87,102.83
2002,2002.0,89.68571428571428,94.65384615384616,68.95652173913044,107.77,99.05,98.42,98.42,104.21,105.98,97.88,110.31,101.15,95.4,100.01
2003,2003.0,90.57142857142857,92.73076923076923,71.02173913043478,105.89,99.99,98.75,100.24,104.13,104.79,97.2,106.94,100.32,97.7,100.48
2004,2004.0,89.94285714285714,94.5,72.19565217391305,110.96,107.09,102.04,98.02,106.9,110.6,107.88,103.73,112.19,97.67,104.3
2005,2005.0,91.17142857142858,95.0576923076923,74.32608695652173,109.83,107.97,103.81,99.27,103.94,111.63,108.22,99.12,110.42,100.73,105.12
2006,2006.0,91.74285714285715,94.45283018867924,75.52173913043478,106.91,109.08,102.68,101.31,107.56,109.3,112.55,102.61,114.11,95.89,105.25
2007,2007.0,92.0,94.45283018867924,77.6086956521739,106.64,108.35,103.32,101.97,108.53,110.02,108.26,103.06,111.72,99.0,105.43
2008,2008.0,92.0,94.83018867924528,78.65217391304348,101.2,101.75,99.88,95.35,101.96,103.23,104.24,95.37,104.71,95.7,100.18
2009,2009.0,91.91428571428571,94.56603773584905,79.8695652173913,104.79,105.88,102.84,99.0,105.26,106.91,107.8,105.41,109.45,99.0,103.66
2010,2010.0,92.34285714285714,94.22641509433963,79.78260869565217,99.29,100.0,99.75,96.77,99.09,101.15,101.59,97.45,103.04,95.47,99.35
2011,2011.0,91.57142857142857,94.88679245283019,79.40425531914893,97.91,100.72,103.62,99.49,100.02,99.93,102.9,99.93,103.27,96.58,101.33
2012,2012.0,92.0,95.35849056603773,80.7872340425532,96.0,95.63,97.4,94.82,99.44,96.94,95.79,98.06,96.26,92.5,96.55
2013,2013.0,90.34285714285714,95.54716981132076,79.68085106382979,96.47,100.44,100.18,101.47,109.0,99.04,100.93,104.21,101.2,96.05,100.71
2014,2014.0,89.91428571428571,94.33962264150944,79.91489361702128,90.05,96.5,97.15,97.18,104.05,92.12,100.06,99.43,97.74,90.45,96.76
2015,2015.0,90.94285714285714,94.0377358490566,79.97872340425532,88.16,100.44,100.52,95.57,97.88,92.6,103.48,99.99,99.18,96.25,98.29
2016,2016.0,90.42857142857143,93.83018867924528,80.06382978723404,72.28,81.55,86.31,87.5,96.15,74.15,83.73,80.18,83.24,88.08,84.43
2017,2017.0,87.42857142857143,93.64150943396227,80.1063829787234,75.67,81.92,87.56,89.82,84.44,76.47,86.21,84.21,88.05,82.06,84.74
2018,2018.0,89.4,94.0,79.91489361702128,77.06,90.04,92.66,89.91,88.59,79.2,93.14,89.74,93.57,88.65,89.54
2019,2019.0,88.94285714285714,94.41509433962264,80.38297872340425,79.59,82.73,84.54,89.04,85.4,79.36,88.76,86.0,89.66,81.01,84.19
