"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"73,62";"0";"0";"0";"9,64";"0";"0";"37,45";"0";"10,34";"0";"0";"0";"0";"0";"0";"0";"51,61";"0";"0";"55,23";"0";"0";"0";"0";"1,32";"30,07"
"1995";"103,09";"0";"0";"0";"24,26";"0";"0";"50,22";"0";"27,70";"0";"0";"0";"0";"0";"0";"0";"66,14";"0";"0";"84,72";"0";"0";"0";"0";"2,22";"40,06"
"1996";"105,51";"0";"0";"0";"30,03";"0";"0";"57,27";"0";"27,42";"0";"0";"0";"0";"0";"0";"0";"70,13";"0";"0";"70,31";"0";"0";"0";"0";"44,16";"49,89"
"1997";"118,12";"0";"0";"0";"8,61";"0";"0";"72,27";"0";"41,86";"0";"0";"0";"0";"0";"0";"0";"67,03";"0";"0";"103,53";"0";"0";"0";"0";"100,67";"68,09"
"1998";"106,16";"0";"0";"0";"20,08";"0";"0";"86,17";"0";"87,68";"0";"0";"0";"0";"0";"0";"0";"73,68";"0";"0";"79,66";"0,00";"0";"0";"0";"103,53";"73,39"
"1999";"113,14";"0";"0";"0";"65,86";"0";"0";"86,85";"0";"89,63";"0";"0";"0";"0";"0";"0";"0";"76,01";"0";"0";"90,46";"1,64";"0";"0";"0";"98,37";"81,81"
"2000";"115,55";"0";"0";"0";"72,41";"0";"0";"103,09";"0";"99,38";"0";"0";"0";"0";"33,35";"0";"0";"79,50";"0";"0";"110,09";"63,23";"0";"0";"0";"83,02";"76,70"
"2001";"120,32";"0";"0";"0";"80,14";"0";"0";"105,12";"0";"104,00";"0";"0";"0";"0";"64,64";"0";"0";"88,53";"0";"0";"111,80";"80,22";"0";"0";"0";"84,44";"80,80"
"2002";"118,88";"0";"0";"0";"82,75";"0";"0";"105,98";"0";"98,44";"0";"0";"0";"0";"96,20";"0";"0";"47,34";"0";"0";"101,59";"34,92";"0";"0";"46,22";"82,71";"78,85"
"2003";"116,00";"0";"0";"0";"84,46";"0";"0";"104,79";"0";"97,08";"0";"0";"0";"0";"112,11";"0";"0";"1,54";"0";"0";"7,68";"1,27";"0";"0";"96,01";"84,79";"75,53"
"2004";"122,27";"0";"0";"0";"95,42";"0";"0";"110,60";"0";"85,61";"0";"0";"0";"0";"117,76";"0";"0";"103,50";"0";"0";"0";"0";"0";"0";"103,46";"86,67";"88,53"
"2005";"131,24";"0";"0";"0";"98,82";"0";"0";"111,63";"0";"99,38";"0";"0";"0";"0";"111,53";"0";"0";"106,23";"0";"0";"0";"0";"0";"0";"106,22";"77,76";"82,88"
"2006";"131,68";"0";"32,24";"0";"101,22";"0";"0";"109,30";"0";"100,68";"0";"0";"0";"0";"109,29";"0";"0";"105,31";"0";"0";"0";"0";"0";"0";"105,25";"78,47";"82,02"
"2007";"130,79";"0";"63,99";"0";"102,33";"0";"0";"110,02";"0";"106,93";"0";"0";"0";"0";"115,01";"0";"0";"107,31";"0";"0";"0";"0";"0";"0";"107,22";"80,04";"84,83"
"2008";"123,60";"0";"67,57";"0";"97,47";"0";"0";"103,23";"0";"97,42";"0";"0";"0";"0";"106,80";"0";"0";"100,42";"0";"0";"0";"0";"0";"0";"100,24";"77,26";"81,43"
"2009";"123,22";"0";"75,51";"0";"102,66";"0";"0";"106,91";"0";"102,49";"0";"0";"0";"0";"110,94";"0";"0";"104,33";"0";"0";"0";"0";"0";"0";"104,21";"77,30";"82,59"
"2010";"118,17";"0";"71,47";"2,84";"97,75";"0";"6,76";"101,15";"0";"97,26";"0";"0";"0";"0";"104,62";"0";"0";"99,67";"0";"0";"0";"0";"0";"0";"99,28";"77,75";"79,72"
"2011";"117,37";"0";"75,59";"80,32";"96,16";"0";"59,46";"99,93";"0";"96,23";"0";"0";"0";"0";"104,61";"0";"0";"97,52";"0";"0";"0";"0";"0";"0";"95,78";"76,70";"85,37"
"2012";"114,10";"0";"77,35";"89,48";"95,24";"21,41";"78,17";"96,94";"0";"96,31";"0";"0";"0";"0";"100,17";"0";"0";"91,08";"0";"0";"0";"0";"0";"0";"69,67";"70,94";"78,76"
"2013";"113,37";"0";"85,55";"91,59";"94,76";"90,68";"82,48";"99,04";"0";"93,56";"0";"79,63";"80,33";"90,28";"101,61";"47,82";"25,67";"92,12";"0";"90,34";"0";"0";"53,66";"3,22";"89,66";"49,05";"70,08"
"2014";"112,98";"93,65";"86,35";"88,29";"89,30";"88,61";"79,56";"92,12";"0";"85,08";"40,29";"74,63";"75,69";"77,76";"118,11";"82,81";"79,53";"88,77";"2,84";"77,74";"0";"0";"44,63";"6,28";"86,68";"134,04";"79,55"
"2015";"104,73";"91,72";"86,66";"90,29";"89,16";"88,50";"79,59";"92,60";"0";"80,32";"89,28";"75,08";"75,30";"74,64";"88,20";"67,29";"63,23";"88,57";"0";"75,37";"0";"0";"38,27";"32,51";"87,48";"184,22";"87,55"
"2016";"92,84";"75,04";"78,99";"82,78";"92,98";"79,61";"86,68";"74,15";"0";"74,20";"65,32";"72,73";"85,57";"59,85";"83,03";"68,85";"69,93";"79,68";"2,78";"56,08";"0";"0";"29,60";"29,47";"5,85";"19,19";"48,60"
"2017";"95,72";"85,48";"74,70";"79,60";"74,57";"74,52";"85,03";"76,47";"41,57";"70,14";"71,63";"69,23";"72,92";"61,29";"77,46";"60,71";"50,97";"0";"55,32";"63,54";"0";"0";"32,73";"38,09";"0";"0";"67,21"
"2018";"98,66";"90,60";"81,28";"76,59";"75,16";"75,16";"88,17";"79,20";"42,50";"71,61";"74,18";"74,21";"70,15";"61,03";"85,03";"67,93";"47,00";"0";"54,17";"63,62";"0";"0";"44,75";"58,88";"0";"0";"70,27"
"2019";"89,02";"84,03";"80,39";"83,50";"68,09";"68,07";"87,62";"79,36";"53,07";"69,29";"78,24";"80,43";"82,31";"67,53";"88,03";"75,37";"56,89";"0";"44,43";"51,82";"0";"0";"47,46";"65,03";"0";"0";"71,33"
"2020";"74,11";"67,08";"67,88";"70,64";"62,63";"62,63";"75,09";"65,70";"47,67";"55,80";"64,39";"67,08";"68,52";"57,90";"68,81";"53,85";"36,86";"0";"54,68";"63,84";"0";"0";"25,95";"48,42";"0";"0";"59,93"
"2021";"11,14";"0";"8,42";"7,72";"6,93";"6,93";"8,49";"6,89";"0";"6,02";"5,43";"5,76";"5,95";"4,66";"6,21";"3,36";"0,38";"0";"0";"4,63";"0";"0";"0";"0";"0";"0";"6,37"
"Total";"109,49";"73,35";"53,55";"54,54";"73,34";"69,93";"71,73";"88,39";"46,21";"79,07";"58,36";"71,53";"73,71";"66,35";"94,84";"63,37";"52,90";"81,29";"29,68";"65,37";"80,80";"20,50";"39,58";"35,47";"71,82";"78,13";"74,63"
