"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"100,91";"0";"0";"0";"7,24";"0";"0";"63,52";"0";"1,61";"0";"0";"0";"0";"0";"0";"0";"71,36";"0";"0";"79,81";"0";"0";"0";"0";"6,26";"42,12"
"1995";"109,99";"0";"0";"0";"9,95";"0";"0";"80,48";"0";"8,27";"0";"0";"0";"0";"0";"0";"0";"84,92";"0";"0";"88,70";"0,00";"0";"0";"0";"15,95";"46,02"
"1996";"122,09";"0";"0";"0";"19,51";"0";"0";"85,51";"0";"10,41";"0";"0";"0";"0";"0";"0";"0";"82,03";"0";"0";"85,56";"0,00";"0";"0";"0";"33,84";"52,53"
"1997";"142,19";"0";"0";"0";"6,66";"0";"0";"101,20";"0";"14,07";"0";"0";"0";"0";"0";"0";"0";"89,79";"0";"0";"121,31";"0,00";"0";"0";"0";"106,92";"76,56"
"1998";"136,39";"0";"0";"0";"17,44";"0";"0";"106,34";"0";"21,00";"0";"0";"0";"0";"0";"0";"0";"106,22";"0";"0";"106,40";"3,14";"0";"0";"0";"108,10";"79,24"
"1999";"147,86";"0";"0";"0";"108,52";"0";"0";"113,11";"0";"31,74";"0";"0";"0";"0";"1663,08";"0";"0";"108,32";"0";"0";"113,67";"14,15";"0";"0";"0";"101,79";"93,30"
"2000";"125,33";"0";"0";"0";"91,96";"0";"0";"102,78";"0";"38,38";"0";"0";"0";"0";"85,98";"0";"0";"96,27";"0";"0";"106,88";"96,87";"0";"0";"0";"78,49";"76,92"
"2001";"121,88";"0";"0";"0";"89,25";"0";"0";"99,87";"0";"36,46";"0";"0";"0";"0";"91,48";"0";"0";"93,87";"0";"0";"99,48";"92,68";"0";"0";"0";"79,74";"77,05"
"2002";"118,71";"0";"0";"0";"85,40";"0";"0";"95,40";"0";"31,22";"0";"0";"0";"0";"97,04";"0";"0";"42,12";"0";"0";"87,84";"38,68";"0";"0";"47,61";"78,46";"73,24"
"2003";"119,67";"0";"0";"0";"86,32";"0";"0";"97,70";"0";"29,40";"0";"0";"0";"0";"115,52";"0";"0";"1,03";"0";"0";"2,34";"2,22";"0";"0";"92,55";"81,07";"71,28"
"2004";"121,18";"0";"0";"0";"88,22";"0";"0";"97,67";"0";"27,92";"0";"0";"0";"0";"103,58";"0";"0";"95,14";"0";"0";"0";"0";"0";"0";"94,83";"78,81";"80,58"
"2005";"124,62";"0";"0";"0";"92,08";"0";"0";"100,73";"0";"32,74";"0";"0";"0";"0";"104,29";"0";"0";"95,70";"0";"0";"0";"0";"0";"0";"94,63";"73,28";"77,12"
"2006";"123,13";"0";"48,38";"0";"90,90";"0";"0";"95,89";"0";"33,36";"0";"0";"0";"0";"98,25";"0";"0";"94,44";"0";"0";"0";"0";"0";"0";"93,82";"72,35";"75,15"
"2007";"121,50";"0";"77,65";"0";"92,08";"0";"0";"99,00";"0";"34,40";"0";"0";"0";"0";"100,54";"0";"0";"95,23";"0";"0";"0";"0";"0";"0";"94,83";"71,84";"75,86"
"2008";"120,36";"0";"77,43";"0";"89,28";"0";"0";"95,70";"0";"35,12";"0";"0";"0";"0";"94,06";"0";"0";"90,65";"0";"0";"0";"0";"0";"0";"90,20";"69,74";"73,59"
"2009";"119,42";"0";"80,90";"0";"93,43";"0";"0";"99,00";"0";"32,45";"0";"0";"0";"0";"97,45";"0";"0";"94,45";"0";"0";"0";"0";"0";"0";"93,78";"72,13";"75,98"
"2010";"117,44";"0";"80,29";"21,59";"90,94";"0";"24,55";"95,47";"0";"31,55";"0";"0";"0";"0";"96,03";"0";"0";"91,64";"0";"0";"0";"0";"0";"0";"90,91";"69,13";"70,63"
"2011";"120,84";"0";"81,96";"106,22";"91,61";"0";"78,19";"96,58";"0";"31,97";"0";"0";"0";"0";"99,93";"0";"0";"92,66";"0";"0";"0";"0";"0";"0";"91,94";"72,63";"81,57"
"2012";"122,03";"0";"81,73";"94,70";"91,76";"25,95";"84,16";"92,50";"0";"32,57";"0";"0";"0";"0";"97,52";"0";"0";"89,11";"0";"0";"0";"0";"0";"0";"63,16";"70,33";"75,61"
"2013";"122,22";"0";"90,27";"97,03";"95,74";"90,14";"89,01";"96,05";"0";"37,19";"0";"87,74";"90,02";"86,34";"103,40";"70,64";"34,50";"92,97";"0";"84,73";"0";"0";"51,73";"2,08";"92,73";"51,44";"70,59"
"2014";"116,54";"94,62";"85,90";"91,38";"89,86";"87,83";"88,58";"90,45";"0";"31,55";"65,29";"81,97";"82,84";"79,15";"99,14";"89,56";"91,06";"89,26";"2,87";"80,18";"0";"0";"44,56";"10,03";"88,17";"146,12";"81,87"
"2015";"115,26";"104,44";"90,03";"95,11";"92,51";"90,52";"90,61";"96,25";"0";"34,41";"97,06";"83,91";"82,93";"80,56";"93,65";"80,28";"81,96";"92,20";"0";"80,06";"0";"0";"52,80";"57,71";"89,89";"167,15";"92,11"
"2016";"110,60";"99,67";"89,30";"94,21";"110,82";"92,16";"98,06";"88,08";"0";"37,50";"70,98";"87,29";"91,90";"74,58";"98,26";"77,09";"79,67";"92,95";"3,19";"58,73";"0";"0";"41,34";"47,42";"2,72";"12,69";"47,30"
"2017";"106,03";"97,70";"84,46";"83,79";"82,18";"81,72";"89,61";"82,06";"70,93";"37,11";"75,28";"73,81";"73,03";"72,96";"83,85";"74,42";"33,43";"0";"71,50";"68,16";"0";"0";"40,30";"53,27";"0";"0";"73,15"
"2018";"107,80";"94,86";"90,42";"86,38";"88,29";"88,19";"93,72";"88,65";"72,34";"53,09";"82,11";"80,89";"76,85";"72,72";"92,17";"77,54";"35,24";"0";"74,49";"68,63";"0";"0";"43,31";"59,73";"0";"0";"77,40"
"2019";"87,16";"80,29";"82,14";"84,44";"68,78";"68,73";"86,14";"81,01";"78,00";"60,86";"85,22";"82,51";"82,38";"75,21";"90,68";"80,53";"30,14";"0";"57,38";"54,26";"0";"0";"42,12";"60,27";"0";"0";"72,27"
"2020";"73,81";"61,87";"75,58";"75,93";"77,48";"77,48";"79,48";"73,58";"76,55";"54,77";"73,98";"70,40";"73,71";"67,53";"77,46";"61,31";"18,16";"0";"83,06";"75,93";"0";"0";"18,27";"41,79";"0";"0";"65,78"
"2021";"11,32";"0";"16,18";"15,27";"15,46";"15,46";"16,39";"15,36";"0";"14,90";"14,68";"14,95";"14,93";"13,80";"16,12";"13,35";"0,48";"0";"0";"13,76";"0";"0";"0";"0";"0";"0";"14,07"
"Total";"116,69";"79,24";"59,57";"75,04";"76,96";"76,09";"80,28";"92,82";"74,46";"32,36";"66,60";"78,62";"79,26";"73,84";"99,07";"74,09";"49,27";"86,26";"38,66";"69,21";"89,15";"29,04";"41,76";"41,64";"67,44";"72,66";"73,22"
