"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"88,56";"0";"0";"0";"3,08";"0";"0";"62,33";"0";"1,37";"0";"0";"0";"0";"0";"0";"0";"65,71";"0";"0";"72,56";"0";"0";"0";"0";"2,98";"37,45"
"1995";"97,30";"0";"0";"0";"4,41";"0";"0";"69,35";"0";"1,80";"0";"0";"0";"0";"0";"0";"0";"70,16";"0";"0";"79,96";"0";"0";"0";"0";"24,69";"41,37"
"1996";"90,32";"0";"0";"0";"7,63";"0";"0";"73,70";"0";"2,79";"0";"0";"0";"0";"0";"0";"0";"68,38";"0";"0";"69,52";"0";"0";"0";"0";"58,70";"47,75"
"1997";"104,66";"0";"0";"0";"3,46";"0";"0";"81,55";"0";"5,36";"0";"0";"0";"0";"0";"0";"0";"68,98";"0";"0";"98,11";"0,00";"0";"0";"0";"106,33";"63,86"
"1998";"94,65";"0";"0";"0";"6,73";"0";"0";"84,44";"0";"14,72";"0";"0";"0";"0";"0";"0";"0";"79,76";"0";"0";"81,75";"0,01";"0";"0";"0";"102,23";"62,95"
"1999";"101,19";"0";"0";"0";"59,68";"0";"0";"90,75";"0";"26,82";"0";"0";"0";"0";"0";"0";"0";"85,96";"0";"0";"90,73";"1,77";"0";"0";"0";"97,67";"80,97"
"2000";"100,29";"0";"0";"0";"84,13";"0";"0";"97,09";"0";"39,45";"0";"0";"0";"0";"57,78";"0";"0";"89,11";"0";"0";"100,11";"70,88";"0";"0";"0";"79,97";"73,79"
"2001";"107,34";"0";"0";"0";"92,38";"0";"0";"105,00";"0";"44,41";"0";"0";"0";"0";"84,41";"0";"0";"99,05";"0";"0";"105,52";"89,86";"0";"0";"0";"84,88";"80,37"
"2002";"102,70";"0";"0";"0";"93,36";"0";"0";"101,15";"0";"43,02";"0";"0";"0";"0";"93,48";"0";"0";"47,67";"0";"0";"98,41";"38,58";"0";"0";"51,76";"83,14";"77,12"
"2003";"99,54";"0";"0";"0";"93,96";"0";"0";"100,32";"0";"42,15";"0";"0";"0";"0";"110,24";"0";"0";"1,81";"0";"0";"5,24";"1,40";"0";"0";"99,26";"83,94";"73,37"
"2004";"109,51";"0";"0";"0";"103,96";"0";"0";"112,19";"0";"46,83";"0";"0";"0";"0";"119,60";"0";"0";"110,40";"0";"0";"0";"0";"0";"0";"110,40";"87,02";"87,55"
"2005";"110,07";"0";"0";"0";"104,34";"0";"0";"110,42";"0";"48,30";"0";"0";"0";"0";"109,57";"0";"0";"109,46";"0";"0";"0";"0";"0";"0";"109,46";"75,66";"78,62"
"2006";"107,81";"0";"41,73";"0";"109,03";"0";"0";"114,11";"0";"52,58";"0";"0";"0";"0";"113,80";"0";"0";"112,77";"0";"0";"0";"0";"0";"0";"112,76";"76,43";"78,68"
"2007";"105,04";"0";"78,90";"0";"106,89";"0";"0";"111,72";"0";"54,59";"0";"0";"0";"0";"113,30";"0";"0";"111,04";"0";"0";"0";"0";"0";"0";"110,99";"76,57";"79,60"
"2008";"100,40";"0";"81,76";"0";"102,14";"0";"0";"104,71";"0";"49,98";"0";"0";"0";"0";"105,35";"0";"0";"104,31";"0";"0";"0";"0";"0";"0";"104,13";"73,06";"75,87"
"2009";"99,66";"0";"87,87";"0";"107,50";"0";"0";"109,45";"0";"54,70";"0";"0";"0";"0";"110,19";"0";"0";"108,89";"0";"0";"0";"0";"0";"0";"108,81";"74,35";"77,81"
