"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"62,30";"0";"0";"0";"0";"0";"0";"31,90";"0";"2,15";"0";"0";"0";"0";"0";"0";"0";"40,53";"0";"0";"47,27";"0";"0";"0";"0";"0";"23,02"
"1995";"88,79";"0";"0";"0";"0,03";"0";"0";"54,09";"0";"7,97";"0";"0";"0";"0";"0";"0";"0";"59,23";"0";"0";"72,95";"0";"0";"0";"0";"46,97";"41,89"
"1996";"78,88";"0";"0";"0";"1,27";"0";"0";"61,69";"0";"13,42";"0";"0";"0";"0";"0";"0";"0";"63,23";"0";"0";"62,80";"0";"0";"0";"0";"42,51";"40,70"
"1997";"107,01";"0";"0";"0";"0,23";"0";"0";"88,53";"0";"33,66";"0";"0";"0";"0";"0";"0";"0";"74,78";"0";"0";"94,75";"0";"0";"0";"0";"115,01";"69,89"
"1998";"111,65";"0";"0";"0";"3,15";"0";"0";"98,10";"0";"57,30";"0";"0";"0";"0";"0";"0";"0";"90,41";"0";"0";"91,32";"0";"0";"0";"0";"106,08";"73,79"
"1999";"105,71";"0";"0";"0";"77,98";"0";"0";"104,98";"0";"81,66";"0";"0";"0";"0";"0";"0";"0";"96,25";"0";"0";"102,21";"1,25";"0";"0";"0";"98,04";"87,01"
"2000";"112,99";"0";"0";"0";"97,03";"0";"0";"116,32";"0";"134,23";"0";"0";"0";"0";"81,70";"0";"0";"101,10";"0";"0";"123,35";"70,10";"0";"0";"0";"80,90";"81,97"
"2001";"117,48";"0";"0";"0";"98,59";"0";"0";"115,61";"0";"115,11";"0";"0";"0";"0";"101,69";"0";"0";"105,97";"0";"0";"114,02";"100,01";"0";"0";"0";"86,07";"86,37"
"2002";"116,02";"0";"0";"0";"99,75";"0";"0";"113,21";"0";"112,02";"0";"0";"0";"0";"97,32";"0";"0";"66,94";"0";"0";"108,30";"55,92";"0";"0";"42,10";"85,66";"83,94"
"2003";"108,28";"0";"0";"0";"107,08";"0";"0";"113,54";"0";"109,81";"0";"0";"0";"0";"117,20";"0";"0";"1,70";"0";"0";"3,87";"1,99";"0";"0";"111,42";"86,37";"79,33"
"2004";"112,32";"0";"0";"0";"108,82";"0";"0";"117,57";"0";"91,87";"0";"0";"0";"0";"125,56";"0";"0";"118,73";"0";"0";"0";"0";"0";"0";"118,72";"91,15";"93,23"
"2005";"111,76";"0";"0";"0";"104,44";"0";"0";"112,82";"0";"109,07";"0";"0";"0";"0";"110,96";"0";"0";"112,87";"0";"0";"0";"0";"0";"0";"112,87";"78,21";"83,09"
"2006";"116,03";"0";"32,73";"0";"114,05";"0";"0";"119,17";"0";"118,14";"0";"0";"0";"0";"116,88";"0";"0";"118,33";"0";"0";"0";"0";"0";"0";"118,33";"79,06";"83,54"
"2007";"120,88";"0";"87,69";"0";"120,54";"0";"0";"126,46";"0";"125,91";"0";"0";"0";"0";"129,60";"0";"0";"125,57";"0";"0";"0";"0";"0";"0";"125,36";"81,53";"88,53"
"2008";"108,67";"0";"90,05";"0";"102,60";"0";"0";"105,58";"0";"103,06";"0";"0";"0";"0";"105,59";"0";"0";"105,50";"0";"0";"0";"0";"0";"0";"104,88";"73,65";"78,80"
"2009";"106,41";"0";"98,57";"0";"115,37";"0";"0";"119,71";"0";"110,30";"0";"0";"0";"0";"111,67";"0";"0";"117,53";"0";"0";"0";"0";"0";"0";"117,45";"75,67";"81,94"
"2010";"99,47";"0";"91,07";"4,35";"101,98";"0";"17,20";"105,08";"0";"104,09";"0";"0";"0";"0";"109,32";"0";"0";"105,40";"0";"0";"0";"0";"0";"0";"105,27";"76,90";"80,38"
"2011";"97,85";"0";"93,33";"105,98";"100,96";"0";"88,18";"103,90";"0";"103,97";"0";"0";"0";"0";"104,88";"0";"0";"105,22";"0";"0";"0";"0";"0";"0";"103,59";"77,82";"90,58"
"2012";"93,70";"0";"91,79";"96,55";"104,00";"32,30";"96,25";"103,90";"0";"100,73";"0";"0";"0";"0";"105,64";"0";"0";"100,49";"0";"0";"0";"0";"0";"0";"68,19";"72,01";"82,48"
"2013";"108,31";"0";"105,02";"111,84";"114,74";"112,86";"109,98";"123,74";"0";"116,95";"0";"109,65";"104,95";"118,32";"125,64";"68,73";"35,91";"114,10";"0";"112,30";"0";"0";"54,53";"4,72";"113,23";"64,18";"87,00"
"2014";"114,68";"91,72";"113,49";"113,11";"113,10";"112,69";"109,65";"115,49";"0";"102,06";"66,89";"101,75";"99,69";"100,83";"129,16";"113,10";"100,69";"112,76";"2,01";"104,18";"0";"0";"44,96";"10,96";"112,37";"192,91";"100,73"
"2015";"103,61";"89,25";"100,79";"102,28";"105,91";"105,32";"100,07";"104,05";"0";"93,60";"103,05";"90,24";"92,64";"87,19";"99,32";"77,96";"67,16";"105,39";"0";"89,04";"0";"0";"34,64";"26,57";"97,81";"228,13";"100,17"
"2016";"90,18";"79,45";"93,31";"95,61";"103,60";"95,19";"99,35";"90,02";"0";"87,86";"77,84";"83,36";"101,79";"85,52";"95,55";"89,21";"89,95";"95,19";"2,83";"77,44";"0";"0";"27,43";"29,00";"6,88";"24,62";"58,31"
"2017";"94,71";"82,76";"89,36";"92,38";"89,28";"89,26";"97,17";"90,75";"54,41";"80,32";"82,68";"76,02";"83,85";"76,74";"86,76";"77,00";"70,23";"0";"58,79";"75,46";"0";"0";"36,92";"38,72";"0";"0";"77,09"
"2018";"98,82";"88,32";"92,17";"92,24";"90,46";"90,46";"95,78";"92,38";"55,25";"83,14";"83,99";"85,12";"85,65";"75,18";"91,08";"81,20";"65,07";"0";"60,49";"76,47";"0";"0";"52,18";"65,60";"0";"0";"80,58"
"2019";"91,53";"84,27";"92,10";"93,63";"81,69";"81,69";"96,71";"92,19";"65,13";"81,75";"88,02";"95,26";"93,29";"81,93";"96,74";"87,56";"81,00";"0";"47,30";"58,25";"0";"0";"53,59";"75,87";"0";"0";"81,68"
"2020";"79,36";"67,06";"86,75";"89,95";"83,14";"83,14";"93,99";"87,70";"65,73";"76,08";"83,31";"84,25";"87,70";"78,91";"87,10";"71,26";"57,84";"0";"72,00";"88,01";"0";"0";"23,39";"61,89";"0";"0";"76,60"
"2021";"14,29";"0";"4,86";"5,02";"5,15";"5,15";"5,25";"4,99";"0";"4,74";"4,05";"4,94";"5,04";"4,23";"5,34";"3,63";"2,10";"0";"0";"3,84";"0";"0";"0";"0";"0";"0";"5,32"
"Total";"100,63";"73,26";"64,91";"60,54";"78,28";"86,88";"89,30";"97,69";"60,13";"83,26";"71,66";"87,96";"90,95";"85,27";"109,46";"81,30";"70,72";"90,75";"34,22";"82,24";"80,98";"23,50";"40,84";"39,62";"79,21";"80,18";"79,95"
