"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"94,12";"0";"0";"0";"0";"0";"0";"70,48";"0";"0,93";"0";"0";"0";"0";"0";"0";"0";"70,66";"0";"0";"78,06";"0";"0";"0";"0";"3,45";"40,14"
"1995";"99,34";"0";"0";"0";"0,00";"0";"0";"72,02";"0";"0,26";"0";"0";"0";"0";"0";"0";"0";"69,77";"0";"0";"79,50";"0";"0";"0";"0";"28,32";"41,95"
"1996";"89,13";"0";"0";"0";"0,02";"0";"0";"76,08";"0";"0,07";"0";"0";"0";"0";"0";"0";"0";"65,70";"0";"0";"69,25";"0";"0";"0";"0";"68,98";"48,69"
"1997";"107,19";"0";"0";"0";"0,01";"0";"0";"87,90";"0";"0,47";"0";"0";"0";"0";"0";"0";"0";"69,98";"0";"0";"97,93";"0";"0";"0";"0";"109,28";"64,67"
"1998";"95,07";"0";"0";"0";"2,22";"0";"0";"84,55";"0";"2,63";"0";"0";"0";"0";"0";"0";"0";"80,29";"0";"0";"80,88";"0";"0";"0";"0";"104,87";"61,71"
"1999";"102,93";"0";"0";"0";"54,48";"0";"0";"93,17";"0";"16,39";"0";"0";"0";"0";"0";"0";"0";"88,67";"0";"0";"91,21";"1,96";"0";"0";"0";"98,25";"81,26"
"2000";"98,68";"0";"0";"0";"84,55";"0";"0";"94,66";"0";"33,17";"0";"0";"0";"0";"58,79";"0";"0";"90,19";"0";"0";"97,73";"68,39";"0";"0";"0";"79,66";"73,16"
"2001";"107,89";"0";"0";"0";"95,74";"0";"0";"105,72";"0";"35,37";"0";"0";"0";"0";"88,96";"0";"0";"101,97";"0";"0";"104,47";"91,57";"0";"0";"0";"84,21";"80,10"
"2002";"101,03";"0";"0";"0";"94,45";"0";"0";"98,32";"0";"34,43";"0";"0";"0";"0";"88,53";"0";"0";"48,09";"0";"0";"97,68";"38,74";"0";"0";"52,42";"83,07";"76,52"
"2003";"98,75";"0";"0";"0";"95,70";"0";"0";"98,89";"0";"36,34";"0";"0";"0";"0";"109,45";"0";"0";"1,82";"0";"0";"6,86";"1,40";"0";"0";"99,19";"83,75";"73,11"
