"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"94,31";"0";"0";"0";"90,42";"0";"0";"73,72";"0";"0";"0";"0";"0";"0";"0";"0";"0";"87,09";"0";"0";"96,21";"0";"0";"0";"0";"0";"55,22"
"1995";"112,61";"0";"0";"0";"5,36";"0";"0";"94,11";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"97,83";"0";"0";"93,85";"0";"0";"0";"0";"7,07";"46,43"
"1996";"107,16";"0";"0";"0";"5,39";"0";"0";"93,87";"0";"0,02";"0";"0";"0";"0";"0";"0";"0";"89,67";"0";"0";"91,28";"0,00";"0";"0";"0";"7,28";"44,66"
"1997";"120,77";"0";"0";"0";"1,62";"0";"0";"96,64";"0";"0,19";"0";"0";"0";"0";"0";"0";"0";"85,76";"0";"0";"120,73";"0,00";"0";"0";"0";"104,74";"70,58"
"1998";"117,59";"0";"0";"0";"6,60";"0";"0";"103,90";"0";"6,51";"0";"0";"0";"0";"0";"0";"0";"107,66";"0";"0";"108,81";"0,52";"0";"0";"0";"109,08";"74,42"
"1999";"122,74";"0";"0";"0";"95,84";"0";"0";"106,81";"0";"21,01";"0";"0";"0";"0";"0";"0";"0";"103,83";"0";"0";"108,16";"5,89";"0";"0";"0";"103,17";"91,64"
"2000";"110,69";"0";"0";"0";"98,23";"0";"0";"102,07";"0";"18,97";"0";"0";"0";"0";"97,54";"0";"0";"99,82";"0";"0";"106,76";"105,26";"0";"0";"0";"78,81";"76,98"
"2001";"107,92";"0";"0";"0";"93,75";"0";"0";"100,79";"0";"26,37";"0";"0";"0";"0";"101,30";"0";"0";"98,65";"0";"0";"104,14";"97,26";"0";"0";"0";"83,57";"79,84"
"2002";"106,16";"0";"0";"0";"92,38";"0";"0";"98,42";"0";"22,61";"0";"0";"0";"0";"101,60";"0";"0";"40,17";"0";"0";"93,22";"38,44";"0";"0";"58,47";"79,23";"74,23"
"2003";"104,80";"0";"0";"0";"92,66";"0";"0";"98,75";"0";"10,79";"0";"0";"0";"0";"114,86";"0";"0";"1,26";"0";"0";"2,24";"2,12";"0";"0";"95,67";"81,37";"71,12"
"2004";"108,96";"0";"0";"0";"96,17";"0";"0";"102,04";"0";"26,95";"0";"0";"0";"0";"107,63";"0";"0";"101,06";"0";"0";"0";"0";"0";"0";"100,81";"75,57";"77,79"
"2005";"108,78";"0";"0";"0";"98,44";"0";"0";"103,81";"0";"31,18";"0";"0";"0";"0";"104,77";"0";"0";"101,04";"0";"0";"0";"0";"0";"0";"100,73";"71,09";"74,56"
"2006";"106,88";"0";"55,11";"0";"98,67";"0";"0";"102,68";"0";"31,72";"0";"0";"0";"0";"102,81";"0";"0";"100,59";"0";"0";"0";"0";"0";"0";"100,33";"70,22";"73,20"
"2007";"104,08";"0";"86,10";"0";"97,59";"0";"0";"103,32";"0";"31,72";"0";"0";"0";"0";"102,57";"0";"0";"99,67";"0";"0";"0";"0";"0";"0";"99,32";"68,74";"72,89"
"2008";"104,82";"0";"86,06";"0";"94,78";"0";"0";"99,88";"0";"31,12";"0";"0";"0";"0";"97,08";"0";"0";"95,67";"0";"0";"0";"0";"0";"0";"95,29";"67,33";"71,35"
"2009";"104,01";"0";"89,29";"0";"98,41";"0";"0";"102,84";"0";"33,06";"0";"0";"0";"0";"100,24";"0";"0";"99,05";"0";"0";"0";"0";"0";"0";"98,64";"69,33";"73,73"
"2010";"103,22";"0";"88,22";"38,21";"95,02";"0";"36,16";"99,75";"0";"32,07";"0";"0";"0";"0";"96,23";"0";"0";"96,62";"0";"0";"0";"0";"0";"0";"96,25";"70,11";"72,39"
"2011";"105,51";"0";"92,96";"115,51";"98,34";"0";"87,50";"103,62";"0";"33,48";"0";"0";"0";"0";"101,92";"0";"0";"100,00";"0";"0";"0";"0";"0";"0";"99,55";"75,55";"85,50"
"2012";"104,51";"0";"90,47";"98,48";"97,43";"26,62";"90,31";"97,40";"0";"33,12";"0";"0";"0";"0";"100,54";"0";"0";"95,07";"0";"0";"0";"0";"0";"0";"68,45";"72,36";"77,94"
"2013";"104,43";"0";"96,59";"102,13";"102,95";"97,41";"95,92";"100,18";"0";"33,85";"0";"96,27";"96,70";"94,35";"105,53";"76,24";"37,38";"99,33";"0";"91,40";"0";"0";"46,92";"2,20";"100,01";"57,22";"73,82"
"2014";"104,87";"89,40";"95,05";"98,29";"98,63";"96,19";"97,67";"97,15";"0";"29,76";"66,90";"91,28";"92,59";"88,25";"107,61";"94,24";"93,39";"97,10";"1,67";"88,61";"0";"0";"40,58";"10,46";"98,03";"166,96";"87,97"
"2015";"104,76";"90,83";"98,52";"100,81";"101,39";"99,13";"99,01";"100,52";"0";"31,17";"101,02";"92,90";"93,07";"88,50";"99,92";"86,97";"86,98";"100,05";"0";"90,23";"0";"0";"50,35";"53,97";"97,94";"202,63";"98,51"
"2016";"95,40";"85,46";"91,48";"93,12";"111,33";"91,36";"96,93";"86,31";"0";"29,50";"70,52";"86,99";"91,46";"78,05";"98,07";"79,06";"82,03";"91,69";"2,58";"62,75";"0";"0";"27,44";"32,38";"4,50";"14,22";"49,04"
"2017";"101,98";"89,71";"88,72";"89,65";"88,54";"88,22";"95,15";"87,56";"72,13";"39,40";"80,12";"77,57";"79,22";"77,84";"88,65";"79,46";"19,89";"0";"70,35";"75,61";"0";"0";"32,81";"43,49";"0";"0";"74,63"
"2018";"101,98";"88,94";"93,73";"90,77";"92,37";"92,28";"97,01";"92,66";"72,51";"66,36";"85,20";"82,84";"81,03";"76,04";"94,61";"80,18";"24,19";"0";"74,20";"75,77";"0";"0";"41,53";"57,64";"0";"0";"79,06"
"2019";"84,41";"73,59";"85,63";"86,67";"69,07";"69,05";"88,16";"84,54";"75,50";"71,96";"86,17";"82,27";"84,63";"75,80";"94,06";"82,87";"16,70";"0";"57,05";"56,47";"0";"0";"40,92";"58,97";"0";"0";"72,72"
"2020";"69,28";"55,43";"77,83";"78,18";"82,23";"82,23";"80,38";"77,39";"75,26";"65,66";"76,95";"71,54";"76,08";"70,18";"81,85";"63,59";"4,13";"0";"82,78";"79,26";"0";"0";"18,08";"40,20";"0";"0";"67,25"
"2021";"9,87";"0";"12,73";"11,81";"12,20";"12,20";"12,89";"12,11";"0";"12,40";"12,14";"11,96";"11,97";"11,44";"13,27";"11,22";"0,43";"0";"0";"11,48";"0";"0";"0";"0";"0";"0";"11,67"
"Total";"104,08";"71,78";"63,44";"71,56";"81,39";"80,46";"85,83";"96,68";"73,85";"29,01";"68,84";"82,67";"84,21";"78,74";"104,20";"77,93";"45,79";"90,65";"38,54";"75,16";"92,27";"30,15";"37,24";"37,58";"71,59";"73,39";"74,00"
