"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"129,54";"0";"0";"0";"29,03";"0";"0";"92,58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95,56";"0";"0";"90,64";"0";"0";"0";"0";"0";"54,67"
"1995";"121,96";"0";"0";"0";"24,87";"0";"0";"102,99";"0";"0,13";"0";"0";"0";"0";"0";"0";"0";"102,50";"0";"0";"98,28";"0,01";"0";"0";"0";"37,18";"58,34"
"1996";"110,44";"0";"0";"0";"47,47";"0";"0";"86,50";"0";"0,02";"0";"0";"0";"0";"0";"0";"0";"84,59";"0";"0";"87,84";"0,02";"0";"0";"0";"39,22";"55,04"
"1997";"121,15";"0";"0";"0";"24,46";"0";"0";"102,06";"0";"0,04";"0";"0";"0";"0";"0";"0";"0";"97,46";"0";"0";"101,61";"0";"0";"0";"0";"100,12";"71,89"
"1998";"125,18";"0";"0";"0";"32,53";"0";"0";"98,51";"0";"0,43";"0";"0";"0";"0";"0";"0";"0";"96,14";"0";"0";"105,87";"0";"0";"0";"0";"76,05";"67,86"
"1999";"119,13";"0";"0";"0";"109,66";"0";"0";"101,56";"0";"0,39";"0";"0";"0";"0";"0";"0";"0";"102,74";"0";"0";"98,42";"0";"0";"0";"0";"88,64";"81,28"
"2000";"103,21";"0";"0";"0";"93,35";"0";"0";"95,12";"0";"0,08";"0";"0";"0";"0";"76,36";"0";"0";"94,91";"0";"0";"93,91";"94,37";"0";"0";"0";"75,01";"71,34"
"2001";"103,74";"0";"0";"0";"95,64";"0";"0";"96,64";"0";"0,19";"0";"0";"0";"0";"57,09";"0";"0";"96,74";"0";"0";"97,50";"95,56";"0";"0";"0";"82,13";"75,82"
"2002";"98,48";"0";"0";"0";"88,26";"0";"0";"86,96";"0";"0,16";"0";"0";"0";"0";"75,94";"0";"0";"57,48";"0";"0";"89,06";"57,61";"0";"0";"31,28";"79,71";"72,34"
"2003";"99,30";"0";"0";"0";"89,95";"0";"0";"90,14";"0";"0,18";"0";"0";"0";"0";"103,52";"0";"0";"4,16";"0";"0";"0,66";"7,50";"0";"0";"91,12";"80,53";"69,86"
"2004";"98,15";"0";"0";"0";"87,13";"0";"0";"87,07";"0";"0,13";"0";"0";"0";"0";"57,56";"0";"0";"88,22";"0";"0";"0";"0";"0";"0";"88,13";"68,33";"69,19"
"2005";"102,62";"0";"0";"0";"91,98";"0";"0";"91,99";"0";"0,21";"0";"0";"0";"0";"97,00";"0";"0";"93,57";"0";"0";"0";"0";"0";"0";"92,54";"67,72";"70,60"
"2006";"101,95";"0";"53,14";"0";"92,60";"0";"0";"93,89";"0";"0,37";"0";"0";"0";"0";"96,72";"0";"0";"95,20";"0";"0";"0";"0";"0";"0";"94,17";"67,07";"69,72"
"2007";"102,02";"0";"80,63";"0";"91,33";"0";"0";"93,49";"0";"0,37";"0";"0";"0";"0";"97,37";"0";"0";"93,16";"0";"0";"0";"0";"0";"0";"92,69";"65,09";"68,78"
"2008";"103,00";"0";"80,70";"0";"86,79";"0";"0";"87,92";"0";"1,92";"0";"0";"0";"0";"89,35";"0";"0";"87,43";"0";"0";"0";"0";"0";"0";"86,81";"64,21";"67,43"
"2009";"105,60";"0";"82,63";"0";"90,93";"0";"0";"91,89";"0";"7,34";"0";"0";"0";"0";"93,68";"0";"0";"91,16";"0";"0";"0";"0";"0";"0";"90,00";"66,82";"70,24"
"2010";"102,12";"0";"84,79";"10,03";"91,68";"0";"41,06";"90,44";"0";"9,82";"0";"0";"0";"0";"91,27";"0";"0";"90,21";"0";"0";"0";"0";"0";"0";"89,05";"65,03";"66,40"
"2011";"106,02";"0";"86,71";"119,93";"94,65";"0";"93,19";"91,90";"0";"8,77";"0";"0";"0";"0";"89,76";"0";"0";"92,82";"0";"0";"0";"0";"0";"0";"91,65";"70,87";"80,13"
