"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"94,21";"0";"0";"0";"37,07";"0";"0";"84,25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"79,67";"0";"0";"75,71";"0";"0";"0";"0";"0";"46,36"
"1995";"66,64";"0";"0";"0";"20,53";"0";"0";"60,56";"0";"0,02";"0";"0";"0";"0";"0";"0";"0";"60,98";"0";"0";"62,18";"0";"0";"0";"0";"23,93";"35,42"
"1996";"94,12";"0";"0";"0";"59,52";"0";"0";"81,47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"81,40";"0";"0";"82,64";"0";"0";"0";"0";"22,66";"49,38"
"1997";"97,30";"0";"0";"0";"36,45";"0";"0";"89,47";"0";"0,10";"0";"0";"0";"0";"0";"0";"0";"88,83";"0";"0";"113,92";"0,01";"0";"0";"0";"104,15";"70,49"
"1998";"100,78";"0";"0";"0";"34,25";"0";"0";"89,38";"0";"0,07";"0";"0";"0";"0";"0";"0";"0";"88,66";"0";"0";"106,27";"0,11";"0";"0";"0";"70,19";"62,21"
"1999";"98,38";"0";"0";"0";"95,98";"0";"0";"88,69";"0";"0,18";"0";"0";"0";"0";"0";"0";"0";"89,28";"0";"0";"92,50";"1,52";"0";"0";"0";"87,77";"77,00"
"2000";"105,60";"0";"0";"0";"104,09";"0";"0";"107,33";"0";"0,25";"0";"0";"0";"0";"88,28";"0";"0";"107,62";"0";"0";"112,70";"99,98";"0";"0";"0";"80,90";"77,88"
"2001";"107,57";"0";"0";"0";"102,17";"0";"0";"106,94";"0";"2,96";"0";"0";"0";"0";"79,68";"0";"0";"106,92";"0";"0";"105,20";"103,25";"0";"0";"0";"83,69";"79,39"
"2002";"105,27";"0";"0";"0";"100,71";"0";"0";"104,80";"0";"4,69";"0";"0";"0";"0";"100,08";"0";"0";"47,30";"0";"0";"100,57";"46,66";"0";"0";"59,02";"82,76";"77,20"
"2003";"105,73";"0";"0";"0";"103,50";"0";"0";"109,71";"0";"7,34";"0";"0";"0";"0";"113,02";"0";"0";"1,04";"0";"0";"0,66";"1,19";"0";"0";"108,56";"85,55";"75,27"
"2004";"101,21";"0";"0";"0";"100,04";"0";"0";"103,32";"0";"8,05";"0";"0";"0";"0";"107,61";"0";"0";"103,16";"0";"0";"0";"0";"0";"0";"103,16";"87,51";"85,27"
"2005";"99,73";"0";"0";"0";"100,73";"0";"0";"103,63";"0";"8,28";"0";"0";"0";"0";"103,09";"0";"0";"103,71";"0";"0";"0";"0";"0";"0";"103,71";"74,52";"75,33"
"2006";"99,29";"0";"45,20";"0";"106,74";"0";"0";"109,36";"0";"48,13";"0";"0";"0";"0";"109,18";"0";"0";"109,49";"0";"0";"0";"0";"0";"0";"109,49";"74,77";"76,59"
"2007";"99,65";"0";"85,86";"0";"107,43";"0";"0";"109,94";"0";"73,33";"0";"0";"0";"0";"110,79";"0";"0";"110,12";"0";"0";"0";"0";"0";"0";"110,12";"73,97";"77,77"
"2008";"97,61";"0";"86,36";"0";"99,20";"0";"0";"101,03";"0";"69,24";"0";"0";"0";"0";"100,09";"0";"0";"101,54";"0";"0";"0";"0";"0";"0";"99,55";"69,09";"72,81"
"2009";"96,12";"0";"93,05";"0";"103,01";"0";"0";"104,90";"0";"78,83";"0";"0";"0";"0";"105,97";"0";"0";"105,20";"0";"0";"0";"0";"0";"0";"104,25";"70,75";"75,04"
"2010";"95,98";"0";"94,43";"2,79";"102,07";"0";"32,13";"104,07";"0";"79,13";"0";"0";"0";"0";"99,83";"0";"0";"105,26";"0";"0";"0";"0";"0";"0";"105,26";"75,59";"78,35"
"2011";"92,70";"0";"91,44";"118,86";"98,00";"0";"93,00";"101,79";"0";"84,60";"0";"0";"0";"0";"99,29";"0";"0";"102,63";"0";"0";"0";"0";"0";"0";"102,63";"75,23";"88,15"
"2012";"87,76";"0";"87,79";"95,93";"94,01";"25,27";"94,28";"94,23";"0";"87,74";"0";"0";"0";"0";"96,03";"0";"0";"94,40";"0";"0";"0";"0";"0";"0";"69,13";"64,61";"75,61"
"2013";"102,81";"0";"97,83";"107,57";"106,44";"104,49";"105,48";"105,76";"0";"96,88";"0";"101,97";"99,54";"90,80";"109,81";"82,06";"43,62";"105,36";"0";"92,24";"0";"0";"51,21";"2,23";"108,08";"52,49";"79,35"
"2014";"100,65";"63,96";"101,58";"102,50";"102,66";"102,42";"102,00";"98,09";"0";"87,15";"60,08";"94,20";"92,67";"82,03";"108,16";"97,63";"84,53";"102,86";"2,45";"85,80";"0";"0";"33,52";"4,48";"102,18";"198,18";"91,47"
"2015";"104,22";"67,05";"104,76";"105,33";"104,62";"104,12";"102,79";"99,47";"0";"90,94";"107,92";"99,77";"96,81";"82,91";"100,27";"78,37";"64,47";"104,95";"0";"94,88";"0";"0";"23,31";"24,48";"102,23";"274,95";"101,84"
"2016";"94,90";"56,36";"99,70";"102,27";"116,43";"100,55";"104,05";"96,19";"0";"90,51";"84,20";"90,86";"111,88";"96,97";"100,69";"97,54";"97,23";"100,55";"2,41";"80,87";"0";"0";"26,58";"33,52";"6,43";"27,66";"63,36"
"2017";"96,03";"71,16";"100,10";"102,01";"99,44";"99,43";"103,25";"99,64";"68,76";"90,68";"92,47";"90,18";"93,65";"84,25";"94,96";"89,20";"75,33";"0";"68,14";"85,45";"0";"0";"46,68";"59,34";"0";"0";"86,02"
"2018";"95,62";"76,97";"96,04";"95,57";"96,37";"96,37";"97,30";"96,33";"77,92";"92,15";"94,59";"95,80";"95,52";"89,61";"97,59";"94,84";"75,23";"0";"81,99";"93,80";"0";"0";"63,72";"82,55";"0";"0";"89,67"
"2019";"87,80";"71,65";"92,11";"94,35";"80,49";"80,49";"93,92";"90,73";"79,34";"86,89";"92,89";"95,26";"95,30";"86,04";"93,87";"92,98";"89,10";"0";"68,65";"78,14";"0";"0";"61,99";"85,65";"0";"0";"85,53"
"2020";"78,42";"50,06";"91,78";"92,65";"95,04";"95,04";"93,65";"92,32";"79,28";"84,15";"92,54";"87,66";"92,93";"86,14";"91,23";"87,73";"64,46";"0";"85,49";"99,58";"0";"0";"22,13";"67,57";"0";"0";"82,50"
"2021";"9,76";"0";"5,92";"5,98";"5,91";"5,91";"6,23";"5,78";"0";"6,71";"6,13";"6,36";"6,36";"5,50";"6,77";"5,56";"3,97";"0";"0";"6,11";"0";"0";"0";"0";"0";"0";"6,20"
"Total";"95,97";"57,00";"61,28";"58,53";"86,55";"87,59";"91,00";"96,17";"76,32";"40,32";"76,13";"92,43";"95,27";"85,76";"105,71";"87,97";"72,89";"89,89";"44,36";"86,72";"87,20";"25,65";"41,28";"45,11";"73,75";"77,20";"76,90"
