"Ano";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";" Total"
"1994";"74,03";"94,40";"94,31";"112,64";"64,92";"88,31"
"1995";"102,35";"102,40";"112,61";"96,43";"86,15";"103,63"
"1996";"107,61";"101,02";"107,16";"100,73";"109,52";"104,21"
"1997";"114,40";"115,79";"120,77";"110,19";"120,80";"117,12"
"1998";"99,02";"110,03";"117,59";"104,64";"117,64";"111,61"
"1999";"109,17";"117,50";"122,74";"106,92";"118,69";"117,28"
"2000";"111,66";"114,28";"110,69";"106,88";"116,04";"111,74"
"2001";"119,05";"117,62";"107,92";"107,61";"115,75";"112,60"
"2002";"119,11";"113,79";"106,16";"104,75";"113,88";"110,28"
"2003";"115,16";"111,70";"104,80";"104,26";"110,88";"108,47"
"2004";"120,65";"120,73";"108,96";"103,51";"114,02";"113,36"
"2005";"132,45";"120,85";"108,78";"103,65";"111,93";"114,48"
"2006";"130,46";"119,21";"106,88";"102,79";"112,89";"113,06"
"2007";"127,23";"117,57";"104,08";"101,46";"114,00";"111,08"
"2008";"120,07";"112,47";"104,82";"101,02";"112,53";"108,91"
"2009";"120,59";"112,72";"104,01";"101,73";"111,74";"108,71"
"2010";"117,45";"108,76";"103,22";"101,09";"110,61";"106,71"
"2011";"115,70";"109,15";"105,51";"104,63";"110,17";"107,94"
"2012";"113,64";"104,67";"104,51";"103,02";"108,99";"105,69"
"2013";"113,18";"106,32";"104,43";"108,52";"116,86";"107,42"
"2014";"114,13";"105,61";"104,87";"106,92";"116,90";"107,28"
"2015";"103,72";"105,52";"104,76";"106,00";"105,44";"105,08"
"2016";"92,05";"94,34";"95,40";"96,07";"104,13";"95,55"
"2017";"92,41";"97,26";"101,98";"92,32";"97,54";"97,98"
"2018";"94,95";"100,35";"101,98";"94,15";"102,19";"99,72"
"2019";"91,04";"85,39";"84,41";"88,08";"93,76";"86,67"
"2020";"76,37";"70,19";"69,11";"83,88";"78,45";"72,97"
"Total";"109,24";"107,42";"104,99";"101,74";"107,52";"105,96"
