"Ano";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";" Total"
"1994";"16,32";"0,01";"90,42";"38,45";"0,00";"8,85"
"1995";"39,16";"0,00";"5,36";"30,66";"0,31";"10,50"
"1996";"47,33";"0,04";"5,39";"53,60";"19,48";"16,50"
"1997";"12,82";"0,14";"1,62";"24,27";"6,90";"5,79"
"1998";"28,07";"4,27";"6,60";"33,72";"18,75";"12,63"
"1999";"73,45";"61,91";"95,84";"102,78";"87,38";"83,50"
"2000";"72,21";"85,68";"98,23";"97,01";"88,93";"91,08"
"2001";"80,33";"90,86";"93,75";"97,90";"91,94";"91,88"
"2002";"82,59";"91,55";"92,38";"95,74";"91,70";"91,47"
"2003";"83,23";"92,35";"92,66";"96,62";"92,15";"92,00"
"2004";"94,93";"98,49";"96,17";"93,72";"93,97";"96,26"
"2005";"98,14";"100,41";"98,44";"96,07";"95,29";"98,46"
"2006";"99,24";"103,25";"98,67";"98,28";"101,88";"100,30"
"2007";"100,34";"102,20";"97,59";"98,90";"103,43";"99,89"
"2008";"96,17";"98,35";"94,78";"93,63";"97,28";"96,06"
"2009";"101,42";"102,92";"98,41";"97,34";"101,70";"100,20"
"2010";"97,11";"97,37";"95,02";"95,52";"95,85";"96,08"
"2011";"95,05";"97,78";"98,34";"98,30";"97,04";"97,71"
"2012";"93,63";"96,18";"97,43";"96,58";"99,20";"96,67"
"2013";"92,52";"97,13";"102,95";"103,80";"107,10";"100,56"
"2014";"86,93";"94,20";"98,63";"98,39";"102,87";"96,42"
"2015";"85,85";"96,77";"101,39";"99,20";"96,77";"97,74"
"2016";"92,13";"96,04";"111,33";"110,79";"114,75";"105,19"
"2017";"72,85";"81,52";"88,54";"87,79";"83,87";"84,40"
"2018";"71,30";"89,52";"92,37";"89,58";"87,49";"88,53"
"2019";"70,27";"71,36";"69,07";"74,70";"71,07";"70,77"
"2020";"63,37";"68,80";"82,22";"87,09";"79,54";"76,89"
"Total";"76,03";"72,67";"82,16";"84,71";"79,53";"78,71"
