"Ano";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";" Total"
"1994";"35,07";"64,93";"73,72";"87,00";"41,33";"58,24"
"1995";"50,83";"70,36";"94,11";"86,29";"58,92";"77,83"
"1996";"61,96";"73,00";"93,87";"85,23";"80,57";"80,86"
"1997";"69,68";"84,65";"96,64";"94,62";"85,90";"89,27"
"1998";"88,22";"87,37";"103,90";"91,35";"101,91";"95,30"
"1999";"88,44";"93,87";"106,81";"93,60";"105,78";"99,08"
"2000";"105,90";"97,15";"102,07";"101,27";"110,65";"101,44"
"2001";"105,86";"103,72";"100,79";"102,80";"105,71";"102,83"
"2002";"107,77";"99,05";"98,42";"98,42";"104,21";"100,01"
"2003";"105,89";"99,99";"98,75";"100,24";"104,13";"100,48"
"2004";"110,96";"107,09";"102,04";"98,02";"106,90";"104,30"
"2005";"109,83";"107,97";"103,81";"99,27";"103,94";"105,12"
"2006";"106,91";"109,08";"102,68";"101,31";"107,56";"105,25"
"2007";"106,64";"108,35";"103,32";"101,97";"108,53";"105,43"
"2008";"101,20";"101,75";"99,88";"95,35";"101,96";"100,18"
"2009";"104,79";"105,88";"102,84";"99,00";"105,26";"103,66"
"2010";"99,29";"100,00";"99,75";"96,77";"99,09";"99,35"
"2011";"97,91";"100,72";"103,62";"99,49";"100,02";"101,33"
"2012";"96,00";"95,63";"97,40";"94,82";"99,44";"96,55"
"2013";"96,47";"100,44";"100,18";"101,47";"109,00";"100,71"
"2014";"90,05";"96,50";"97,15";"97,18";"104,05";"96,76"
"2015";"88,16";"100,44";"100,52";"95,57";"97,88";"98,29"
"2016";"72,28";"81,55";"86,31";"87,50";"96,15";"84,43"
"2017";"75,67";"81,92";"87,56";"89,82";"84,44";"84,74"
"2018";"77,06";"90,04";"92,66";"89,91";"88,59";"89,54"
"2019";"79,59";"82,73";"84,54";"89,04";"85,40";"84,19"
"2020";"64,90";"71,74";"77,38";"85,76";"79,79";"75,81"
"Total";"89,03";"92,94";"97,62";"94,92";"95,84";"94,77"
