"Ano";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";" Total"
"1999";"0";"0";"0";"0";"525,47";"6692,10"
"2000";"12,07";"65,03";"97,54";"87,60";"87,15";"77,50"
"2001";"55,14";"88,59";"101,30";"70,53";"96,27";"88,43"
"2002";"100,21";"90,96";"101,60";"93,67";"98,52";"96,92"
"2003";"113,08";"111,75";"114,86";"110,32";"112,41";"112,95"
"2004";"122,27";"118,34";"107,63";"97,31";"106,73";"110,93"
"2005";"110,21";"110,56";"104,77";"100,65";"104,59";"106,55"
"2006";"107,95";"109,25";"102,81";"100,97";"106,60";"105,35"
"2007";"113,47";"110,45";"102,57";"103,50";"109,80";"106,80"
"2008";"105,13";"103,36";"97,08";"95,24";"99,44";"99,81"
"2009";"109,54";"108,28";"100,24";"99,08";"103,31";"103,74"
"2010";"104,02";"104,64";"96,23";"96,20";"100,73";"99,93"
"2011";"102,40";"105,04";"101,92";"97,14";"103,07";"102,39"
"2012";"100,32";"98,38";"100,54";"97,00";"101,61";"99,50"
"2013";"98,93";"111,99";"105,53";"107,25";"112,38";"107,46"
"2014";"116,05";"116,89";"107,61";"111,04";"122,52";"112,80"
"2015";"85,60";"95,31";"99,92";"96,12";"93,73";"96,07"
"2016";"80,76";"97,21";"98,07";"93,02";"99,47";"95,41"
"2017";"76,18";"87,07";"88,65";"87,26";"83,35";"86,24"
"2018";"84,69";"94,60";"94,61";"89,97";"91,00";"92,61"
"2019";"88,27";"94,42";"94,06";"92,67";"91,28";"93,12"
"2020";"68,32";"77,89";"81,84";"84,99";"78,56";"79,45"
"Total";"92,99";"103,34";"105,45";"100,67";"103,30";"102,72"
