"Ano";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";" Total"
"1994";"54,82";"67,78";"87,09";"87,23";"46,05";"64,76"
"1995";"66,12";"69,49";"97,83";"86,19";"64,49";"80,54"
"1996";"74,15";"66,14";"89,67";"83,84";"81,74";"78,25"
"1997";"68,11";"66,63";"85,76";"91,70";"79,65";"78,50"
"1998";"70,77";"81,99";"107,66";"91,19";"96,84";"92,97"
"1999";"75,64";"88,69";"103,83";"93,70";"96,76";"94,46"
"2000";"78,13";"89,93";"99,82";"101,25";"97,08";"94,71"
"2001";"87,85";"96,31";"98,65";"102,70";"100,23";"97,45"
"2002";"48,87";"47,82";"40,17";"43,28";"51,53";"44,69"
"2003";"2,05";"1,62";"1,26";"1,04";"0,92";"1,41"
"2004";"104,22";"104,63";"101,06";"98,43";"105,10";"102,41"
"2005";"105,49";"105,55";"101,04";"99,67";"102,63";"102,82"
"2006";"103,27";"107,33";"100,59";"101,92";"106,21";"103,50"
"2007";"105,31";"106,42";"99,67";"102,06";"108,00";"103,25"
"2008";"98,15";"101,15";"95,67";"95,62";"100,71";"97,98"
"2009";"102,34";"105,45";"99,05";"98,97";"104,25";"101,71"
"2010";"98,36";"99,89";"96,62";"96,97";"98,96";"98,01"
"2011";"95,96";"100,32";"100,00";"100,04";"99,27";"99,61"
"2012";"91,12";"92,97";"95,07";"94,63";"93,16";"93,81"
"2013";"89,68";"94,99";"99,33";"101,81";"105,89";"97,85"
"2014";"86,62";"93,33";"97,10";"98,06";"102,71";"95,48"
"2015";"85,11";"96,34";"100,05";"98,93";"95,75";"96,90"
"2016";"78,28";"86,56";"91,69";"91,98";"100,02";"89,53"
"Total";"80,95";"84,52";"90,65";"89,52";"88,97";"87,42"
