"Education index"
"Dimension: Education"
"Definition: Education index is an average of mean years of schooling (of adults) and expected years of schooling (of children), both expressed as an index obtained by scaling with the corresponding maxima."
"Source: HDRO calculations based on expected years of schooling and mean years of schooling from UNESCO Institute for Statistics (2020) and other sources. Accessed on 21 July 2020."
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","0.122","","0.133","","0.145","","0.156","","0.168","","0.179","","0.190","","0.202","","0.213","","0.224","","0.235","","0.247","","0.259","","0.271","","0.302","","0.312","","0.324","","0.336","","0.342","","0.352","","0.372","","0.374","","0.390","","0.398","","0.403","","0.405","","0.406","","0.408","","0.413","","0.414",""
"69"," Albania","0.583","","0.588","","0.557","","0.542","","0.541","","0.550","","0.557","","0.569","","0.579","","0.584","","0.586","","0.588","","0.596","","0.604","","0.605","","0.621","","0.628","","0.640","","0.644","","0.650","","0.671","","0.714","","0.739","","0.749","","0.758","","0.753","","0.745","","0.747","","0.743","","0.746",""
"91"," Algeria","0.385","","0.395","","0.405","","0.414","","0.424","","0.431","","0.443","","0.458","","0.473","","0.487","","0.500","","0.513","","0.529","","0.542","","0.557","","0.570","","0.577","","0.588","","0.588","","0.608","","0.626","","0.644","","0.639","","0.639","","0.652","","0.659","","0.660","","0.665","","0.668","","0.672",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.630","","0.630","","0.636","","0.642","","0.650","","0.631","","0.651","","0.652","","0.667","","0.668","","0.670","","0.671","","0.724","","0.714","","0.725","","0.718","","0.722","","0.713","","0.720","","0.720",""
"148"," Angola","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.276","","0.288","","0.300","","0.312","","0.324","","0.336","","0.348","","0.362","","0.376","","0.390","","0.404","","0.398","","0.423","","0.435","","0.447","","0.460","","0.472","","0.487","","0.498","","0.500","","0.500",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.673","","0.675","","0.676","","0.674","","0.672","","0.667","","0.651","","0.656","","0.657","","0.652","","0.654","","0.654","","0.655","","0.656","","0.665",""
"46"," Argentina","0.628","","0.632","","0.634","","0.636","","0.639","","0.648","","0.659","","0.670","","0.681","","0.715","","0.736","","0.756","","0.762","","0.761","","0.760","","0.751","","0.795","","0.796","","0.801","","0.810","","0.818","","0.824","","0.822","","0.822","","0.826","","0.832","","0.834","","0.842","","0.842","","0.855",""
"81"," Armenia","0.637","","0.640","","0.640","","0.647","","0.640","","0.631","","0.633","","0.646","","0.666","","0.674","","0.671","","0.660","","0.660","","0.662","","0.668","","0.679","","0.696","","0.717","","0.712","","0.729","","0.734","","0.737","","0.736","","0.743","","0.746","","0.750","","0.744","","0.739","","0.740","","0.740",""
"8"," Australia","0.873","","0.874","","0.874","","0.875","","0.875","","0.894","","0.895","","0.895","","0.895","","0.895","","0.895","","0.896","","0.895","","0.893","","0.892","","0.873","","0.876","","0.879","","0.914","","0.916","","0.919","","0.922","","0.928","","0.906","","0.908","","0.918","","0.919","","0.923","","0.923","","0.924",""
"18"," Austria","0.675","","0.682","","0.692","","0.699","","0.704","","0.709","","0.711","","0.715","","0.720","","0.727","","0.731","","0.754","","0.721","","0.728","","0.740","","0.749","","0.759","","0.806","","0.809","","0.819","","0.837","","0.838","","0.841","","0.833","","0.854","","0.861","","0.862","","0.865","","0.866","","0.865",""
